Name,New Orleans,Laredo,Seattle,San Francisco,Long Beach,Great Lakes,Norfolk,Savannah
West River Transit,166.41,156.03,135.95,163.48,169.61,73.31,177.29,178.97
Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,134.76,152.42,167.06,194.59,189.78,50.00,146.63,148.31
River Cities Public Transit,150.57,139.91,141.34,160.48,156.22,78.23,169.85,166.16
Two Rivers Transportation,133.75,132.76,153.59,166.10,162.44,76.28,153.03,149.34
Blue Rivers Public Transportation,116.18,120.14,172.48,168.05,160.36,82.71,140.52,131.77
"Transport 360, LLC.",109.17,116.49,179.03,175.64,166.57,83.17,133.51,124.76
"Five Rivers Transport, LLC",104.84,115.18,183.43,180.04,165.64,84.87,129.45,120.70
East Side River Transportation Inc,90.00,126.07,203.68,200.29,183.53,91.65,109.04,100.29
River City Transportation,113.63,146.27,189.05,194.35,186.66,69.68,120.20,120.66
River Transportation Co,101.17,146.16,221.20,223.00,209.36,100.72,86.28,90.05
