Miles,New Orleans,Laredo,Seattle,San Francisco,Long Beach,Great Lakes,Norfolk,Savannah
West River Transit,79.4,200,200,200,200,200,200,200
Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,62.54,200,200,200,200,200,200,200
River Cities Public Transit,70.96,200,200,200,200,200,200,200
Two Rivers Transportation,62,200,200,200,200,200,200,200
Blue Rivers Public Transportation,52.63,200,200,200,200,200,200,200
"Transport 360, LLC.",48.9,200,200,200,200,200,200,200
"Five Rivers Transport, LLC",46.59,200,200,200,200,200,200,200
East Side River Transportation Inc,38.67,200,200,200,200,200,200,200
River City Transportation,51.34,200,200,200,200,200,200,200
River Transportation Co,44.99,200,200,200,200,200,200,200
