Name,"Sioux Falls, SD ","Minneapolis, MN ","Fargo, ND ","Council Bluffs, IA ","Toledo, OH ","Grand Island, NE "
Agency Rail LLC,21.70,18.25,25.73,17.16,13.63,22.07
Airial Construction,21.36,16.11,23.59,17.51,11.64,22.42
"Alliance Builders And Construction, Inc.",21.74,16.50,23.98,18.07,10.85,22.98
Artix Construction Inc,21.30,16.05,23.53,17.84,11.60,22.76
Assumption Cooperative Grain,24.11,20.72,28.20,17.94,15.82,21.46
Atkinson Grain & Fertilizer,18.30,15.20,23.37,13.75,14.70,18.67
B A B Grain,22.53,20.95,28.43,16.45,16.45,19.98
Bridgeport Grain INC,27.53,24.08,31.56,21.52,14.87,25.04
Copper Construction Co,21.22,15.97,23.45,17.87,11.58,22.78
Crea Construction,21.74,16.50,23.98,18.07,10.85,22.98
Danvers Farmers Elevator,21.45,18.38,25.86,16.91,13.86,21.82
Donovan Farmers Cooperative,23.63,19.44,26.93,19.08,10.98,24.00
Eminence Grain & Coal CO,24.00,18.87,26.35,17.31,14.35,21.59
Farmers Grain Company Of Latham,22.46,19.56,27.04,17.71,15.15,21.24
Farmers Grain Service Inc,20.65,16.74,24.23,16.11,12.88,21.02
Geneva Construction Co,21.41,16.17,23.65,16.90,12.16,21.81
Goodwine Cooperative Grain Company,24.13,19.87,27.35,19.58,11.12,24.50
Goodwine Cooperative Grain Company,24.10,19.85,27.33,19.57,11.32,24.45
Grainland Cooperative,20.85,17.98,25.46,16.31,13.71,21.22
Grainland Elevator,21.13,17.75,25.23,16.59,13.49,21.50
Grand Prairie Cooperative Inc,23.65,20.20,27.68,19.15,13.60,22.68
Graymont Cooperative Association Grain ELEV,21.62,17.70,25.19,17.08,13.37,21.99
Hartsburg Grain Company,21.52,19.32,26.80,16.98,14.80,21.41
Heartland Construction,21.74,16.50,23.98,18.07,10.85,22.98
Hometeam Group Inc,21.74,16.49,23.98,17.70,11.13,22.61
Hudson Grain Co,21.80,17.88,25.36,17.26,13.52,22.17
I D Construction,20.01,14.77,22.25,17.50,12.56,22.41
Jayco Construction,22.72,20.34,27.83,16.64,16.06,20.17
Jersey County Grain Company,21.56,19.04,27.21,15.48,19.47,19.00
K T Richards Construction,22.14,16.89,24.38,17.73,11.04,22.64
Kitchen Seed Co Inc,20.60,18.03,26.20,14.52,18.36,18.05
Koehl Brothers Inc,22.37,18.46,25.94,17.83,12.41,22.74
Legend Exterior & Construction,20.99,15.74,23.22,17.84,11.79,22.75
Lincolnland Agri-Energy,26.96,23.51,30.99,21.25,13.97,24.78
Lumber 1 Construction,21.74,16.50,23.98,18.07,10.85,22.98
Midwest Ingredients Inc,19.95,16.85,25.03,15.41,15.09,20.32
Monica Elevator CO,19.95,16.85,25.03,15.41,15.09,20.32
Northern Grain Marketing,19.06,16.26,23.74,14.52,14.07,19.43
P&K Quality Construction,24.07,21.07,28.55,17.99,16.30,21.51
Path Construction Co Inc,21.06,15.81,23.29,18.22,11.96,23.13
Prentice Farmers Elevator,22.24,18.51,26.68,16.16,16.74,19.69
"R.A. James Construction, Inc.",21.67,16.42,23.91,17.74,11.12,22.66
Reyes Group Limited,22.39,17.14,24.62,17.95,10.53,22.86
Roanoke Farmers Association,21.04,17.59,25.07,16.50,14.20,21.41
Robert P Johnson Grain Company,22.16,21.32,27.98,16.08,17.05,19.61
Rock River Lumber & Grain Company,18.53,15.25,23.43,13.99,15.10,18.90
Shore Sales CO Inc,23.33,19.88,27.36,18.79,12.41,23.37
Siemer Milling Company,25.86,22.41,29.90,19.62,14.72,23.14
Stanford Grain Company,21.55,18.64,26.12,17.01,14.12,21.92
Top Ag Cooperative,24.12,23.09,30.57,18.04,17.08,21.57
Top Flight Grain,23.42,19.97,27.46,18.76,13.55,22.29
Tremont Cooperative Grain Company,20.90,18.78,25.98,16.36,14.67,21.27
Tri Central Cooperative - Main Ofc,23.04,19.08,26.56,18.50,11.59,23.41
Twomey Company,18.40,15.48,23.66,13.40,17.40,18.23
Union Iron Works Inc,23.02,19.74,27.23,17.87,14.85,21.40
US NATIONAL CONSTRUCTION,21.74,16.50,23.98,18.07,10.85,22.98
Wesemann Feeds,19.88,14.63,22.11,16.55,13.28,21.46
Bazooka-Farmstar Inc,15.99,13.27,21.44,10.90,18.06,15.82
Buckingham Co-Operative Company,13.03,11.01,18.29,10.09,20.35,15.00
Clinton Feed & Grain,16.91,13.03,20.52,13.23,16.72,18.14
Dandea Enterprises Inc,14.36,11.06,18.54,11.95,18.88,16.87
Dunkerton Cooperative,13.06,9.75,17.24,11.30,20.27,16.21
East Central Iowa Cooperative,12.73,10.35,17.63,10.70,20.52,15.61
East Central Iowa Cooperative,13.31,10.14,17.63,11.28,19.93,16.19
Farmers Cooperative,11.19,9.78,17.06,9.03,22.08,13.94
Farmers Elevator & Exchange,15.18,14.00,21.28,10.00,20.15,13.95
Gold Eagle Cooperative,8.80,8.61,16.54,9.82,24.36,14.37
