Name,West River Transit,Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,River Cities Public Transit,Two Rivers Transportation,Blue Rivers Public Transportation,"Transport 360, LLC.","Five Rivers Transport, LLC",East Side River Transportation Inc,River City Transportation,River Transportation Co
Agency Rail LLC,36.96,21.79,33.47,25.04,20.03,16.64,17.49,9.17,8.78,13.52
Airial Construction,34.45,19.28,32.86,24.42,21.55,21.80,22.64,13.96,7.60,14.80
"Alliance Builders And Construction, Inc.",34.91,19.74,33.32,24.88,22.21,21.89,22.73,14.42,8.26,14.02
Artix Construction Inc,34.38,19.21,32.80,24.36,21.95,22.19,23.04,14.39,8.00,14.82
Assumption Cooperative Grain,39.86,24.69,36.19,27.87,19.06,15.67,16.52,7.14,11.22,13.59
Atkinson Grain & Fertilizer,34.19,19.16,29.48,21.05,17.15,17.40,18.24,12.03,4.52,18.05
B A B Grain,40.13,24.96,34.34,26.01,17.32,13.93,14.78,6.34,10.70,15.66
Bridgeport Grain INC,43.80,28.63,40.32,31.88,23.26,19.87,18.58,7.71,15.63,10.42
Copper Construction Co,34.29,19.12,32.70,24.26,21.97,22.22,23.07,14.19,8.02,14.73
Crea Construction,34.91,19.74,33.32,24.88,22.21,21.89,22.73,14.42,8.26,14.02
Danvers Farmers Elevator,37.11,21.94,33.18,24.75,20.18,16.79,17.64,9.28,8.50,13.98
Donovan Farmers Cooperative,38.22,23.05,35.75,27.31,23.61,20.22,21.07,12.67,10.44,11.62
Eminence Grain & Coal CO,37.69,22.52,33.66,25.22,19.21,15.82,16.67,8.35,8.97,13.85
Farmers Grain Company Of Latham,38.51,23.34,34.37,25.94,18.80,15.42,16.26,7.95,9.68,13.88
Farmers Grain Service Inc,35.20,20.03,32.13,23.81,19.91,19.22,20.06,11.74,6.94,16.17
Geneva Construction Co,34.52,19.35,32.93,24.74,20.84,21.09,21.93,13.33,6.89,15.33
Goodwine Cooperative Grain Company,38.71,23.54,36.32,27.89,22.87,19.48,20.33,11.93,11.01,11.66
Goodwine Cooperative Grain Company,38.69,23.52,36.29,27.83,22.57,19.18,20.02,11.63,10.99,11.68
Grainland Cooperative,36.64,21.47,32.48,24.04,18.02,17.30,18.14,9.83,7.79,14.55
Grainland Elevator,36.38,21.21,32.78,24.35,18.32,17.57,18.41,10.10,8.13,14.52
Grand Prairie Cooperative Inc,39.22,24.05,35.73,27.30,20.53,17.14,17.98,9.70,11.05,12.55
Graymont Cooperative Association Grain ELEV,36.32,21.15,33.38,24.94,21.05,18.27,19.11,10.80,8.07,14.40
Hartsburg Grain Company,38.22,23.05,33.26,24.83,19.01,15.62,16.46,8.15,8.57,14.37
Heartland Construction,34.91,19.74,33.32,24.88,22.21,21.89,22.73,14.42,8.26,14.02
Hometeam Group Inc,34.90,19.73,33.31,25.67,21.77,21.31,22.15,13.84,7.82,14.19
Hudson Grain Co,36.53,21.36,33.49,25.06,20.39,17.00,17.85,9.53,8.28,13.95
I D Construction,32.88,17.71,31.29,23.23,21.54,21.79,22.63,15.41,7.59,16.01
Jayco Construction,39.42,24.25,34.56,26.24,17.54,14.15,15.00,6.84,10.06,14.94
Jersey County Grain Company,38.70,23.67,33.20,24.87,16.18,12.79,13.12,5.57,11.53,17.59
K T Richards Construction,35.37,20.20,33.79,25.71,21.81,21.00,21.84,13.53,8.05,14.08
Kitchen Seed Co Inc,37.51,22.48,32.08,23.75,15.06,11.67,12.52,7.18,10.15,17.64
Koehl Brothers Inc,37.21,22.04,34.26,25.83,21.51,18.13,18.97,10.66,8.96,13.73
Legend Exterior & Construction,34.02,18.85,32.43,23.99,21.94,22.19,23.03,14.35,7.99,14.97
Lincolnland Agri-Energy,43.13,27.96,39.64,31.21,22.95,19.56,18.27,8.93,14.96,11.14
Lumber 1 Construction,34.91,19.74,33.32,24.88,22.21,21.89,22.73,14.42,8.26,14.02
Midwest Ingredients Inc,36.14,21.11,31.42,22.99,16.96,16.79,17.64,10.39,6.05,16.01
Monica Elevator CO,36.14,21.11,31.42,22.99,16.96,16.79,17.64,10.39,6.05,16.01
Northern Grain Marketing,34.62,19.45,30.27,21.95,18.05,18.30,19.14,12.10,4.86,17.31
P&K Quality Construction,40.27,25.10,36.14,27.82,19.12,15.73,16.04,6.69,11.54,13.87
Path Construction Co Inc,34.10,18.93,32.51,24.08,22.38,22.63,23.47,14.61,8.43,15.17
Prentice Farmers Elevator,38.08,23.04,34.00,25.68,16.98,13.59,14.44,7.79,9.21,15.73
"R.A. James Construction, Inc.",34.82,19.65,33.24,25.73,21.83,21.56,22.40,14.09,7.88,14.40
Reyes Group Limited,35.66,20.49,34.07,25.96,22.07,21.25,22.10,13.78,8.68,13.49
Roanoke Farmers Association,36.24,21.08,32.70,24.26,18.24,17.63,18.48,10.16,8.00,14.79
Robert P Johnson Grain Company,39.34,24.57,33.91,25.58,16.89,13.50,14.35,6.22,11.21,16.09
Rock River Lumber & Grain Company,34.47,19.44,29.65,21.33,17.43,17.67,18.52,12.57,3.68,18.51
Shore Sales CO Inc,38.88,23.71,35.39,26.95,21.30,17.91,18.75,10.35,10.70,11.98
Siemer Milling Company,41.85,26.68,38.36,29.92,21.04,17.65,16.41,7.07,13.67,12.02
Stanford Grain Company,37.42,22.25,33.30,24.87,19.84,16.45,17.30,8.98,8.61,13.95
Top Ag Cooperative,42.70,27.47,36.20,27.88,19.18,15.73,13.75,4.40,13.28,14.78
Top Flight Grain,38.98,23.81,35.49,27.06,20.03,16.64,17.49,9.17,10.81,12.49
Tremont Cooperative Grain Company,37.25,22.22,32.54,24.10,19.74,16.36,17.20,8.89,7.85,14.61
Tri Central Cooperative - Main Ofc,37.79,22.62,35.06,26.62,22.92,19.53,19.53,11.98,9.75,12.33
Twomey Company,34.53,19.50,29.49,21.17,14.56,14.44,15.28,10.24,6.67,17.65
Union Iron Works Inc,38.72,23.55,35.02,26.59,18.99,15.60,16.44,7.51,10.33,13.52
US NATIONAL CONSTRUCTION,34.91,19.74,33.32,24.88,22.21,21.89,22.73,14.42,8.26,14.02
Wesemann Feeds,32.72,17.55,31.13,22.69,20.43,20.67,21.52,14.29,6.48,16.72
Bazooka-Farmstar Inc,31.93,16.90,26.67,18.34,13.81,12.61,13.45,12.72,7.13,21.12
Buckingham Co-Operative Company,28.23,13.20,23.20,14.88,12.85,13.10,13.94,16.46,8.24,24.15
Clinton Feed & Grain,30.84,15.67,27.85,19.57,16.53,16.78,17.62,14.28,3.56,19.88
Dandea Enterprises Inc,29.57,13.36,24.75,16.42,14.92,15.17,16.01,15.43,6.21,22.41
Dunkerton Cooperative,27.00,11.83,23.14,15.22,14.27,14.52,15.36,16.45,8.14,24.06
