Name,"Sioux Falls, SD ","Minneapolis, MN ","Fargo, ND ","Council Bluffs, IA ","Toledo, OH ","Grand Island, NE "
Agency Rail LLC,573.57,468.88,695.91,435.77,328.75,584.82
Airial Construction,563.18,403.98,631.02,446.37,268.53,595.41
"Alliance Builders And Construction, Inc.",574.94,415.75,642.78,463.36,244.3,612.41
Artix Construction Inc,561.44,402.24,629.28,456.64,267.13,605.68
Assumption Cooperative Grain,646.82,543.78,770.81,459.4,395.23,566.35
Atkinson Grain & Fertilizer,470.34,376.34,624.38,332.54,361.36,481.59
B A B Grain,598.82,550.81,777.85,414.4,414.4,521.35
Bridgeport Grain INC,750.58,645.89,872.93,568.09,366.38,675.04
Copper Construction Co,559.01,399.81,626.85,457.34,266.72,606.38
Crea Construction,574.94,415.75,642.78,463.36,244.3,612.41
Danvers Farmers Elevator,566.08,472.78,699.81,428.29,335.73,577.33
Donovan Farmers Cooperative,632.08,505.18,732.22,494.28,248.34,643.32
Eminence Grain & Coal CO,643.32,487.66,714.69,440.54,350.62,570.32
Farmers Grain Company Of Latham,596.65,508.73,735.77,452.66,375.03,559.61
Farmers Grain Service Inc,541.75,423.28,650.31,403.95,306.08,553
Geneva Construction Co,564.94,405.75,632.78,428.04,284.09,577.09
Goodwine Cooperative Grain Company,647.22,517.98,745.01,509.42,252.52,658.46
Goodwine Cooperative Grain Company,646.51,517.49,744.52,508.93,258.58,657.07
Grainland Cooperative,547.86,460.63,687.66,410.07,331.27,559.11
Grainland Elevator,556.29,453.79,680.83,418.49,324.44,567.53
Grand Prairie Cooperative Inc,632.83,528.14,755.18,496.36,327.85,603.31
Graymont Cooperative Association Grain ELEV,571.15,452.36,679.39,433.35,320.99,582.4
Hartsburg Grain Company,568.14,501.37,728.4,430.35,364.33,564.97
Heartland Construction,574.94,415.75,642.78,463.36,244.3,612.41
Hometeam Group Inc,574.83,415.64,642.67,452.3,252.83,601.34
Hudson Grain Co,576.58,457.79,684.82,438.78,325.49,587.82
I D Construction,522.44,363.24,590.27,446.12,296.31,595.16
Jayco Construction,604.57,532.46,759.49,420.15,402.62,527.1
Jersey County Grain Company,569.23,492.86,740.9,384.81,505.95,491.76
K T Richards Construction,587.03,427.83,654.87,453.13,250.15,602.17
Kitchen Seed Co Inc,540.32,462.22,710.25,355.9,472.43,462.85
Koehl Brothers Inc,594.04,475.25,702.28,456.24,291.63,605.28
Legend Exterior & Construction,552.05,392.85,619.89,456.43,272.97,605.48
Lincolnland Agri-Energy,733.2,628.51,855.55,560.09,339.2,667.04
Lumber 1 Construction,574.94,415.75,642.78,463.36,244.3,612.41
Midwest Ingredients Inc,520.63,426.63,674.66,382.83,373.16,531.88
Monica Elevator CO,520.63,426.63,674.66,382.83,373.16,531.88
Northern Grain Marketing,493.64,408.44,635.47,355.84,342.26,504.89
P&K Quality Construction,645.42,554.46,781.49,461.01,409.68,567.96
Path Construction Co Inc,554.14,394.95,621.98,467.91,278.23,616.96
Prentice Farmers Elevator,590.1,476.72,724.75,405.68,422.99,512.63
"R.A. James Construction, Inc.",572.77,413.58,640.61,453.59,252.55,602.63
Reyes Group Limited,594.47,435.27,662.3,459.73,234.72,608.78
Roanoke Farmers Association,553.54,448.8,675.83,415.74,346.01,564.79
Robert P Johnson Grain Company,587.65,562.01,764.23,403.23,432.41,510.18
Rock River Lumber & Grain Company,477.56,377.96,625.99,339.76,373.29,488.81
Shore Sales CO Inc,623.12,518.44,745.47,485.33,291.84,624.18
Siemer Milling Company,699.94,595.26,822.29,510.49,361.82,617.44
Stanford Grain Company,569.17,480.78,707.81,431.38,343.74,580.42
Top Ag Cooperative,647.05,615.71,842.74,462.63,433.35,569.58
Top Flight Grain,625.89,521.2,748.24,484.54,326.36,591.49
Tremont Cooperative Grain Company,549.39,485.03,703.42,411.59,360.46,560.63
Tri Central Cooperative - Main Ofc,614.19,494.2,721.23,476.39,266.82,625.44
Twomey Company,473.47,385.01,633.04,321.83,443.15,468.25
Union Iron Works Inc,613.61,514.27,741.3,457.49,365.95,564.44
US NATIONAL CONSTRUCTION,574.94,415.75,642.78,463.36,244.3,612.41
Wesemann Feeds,518.35,359.15,586.19,417.31,318.2,566.35
Bazooka-Farmstar Inc,400.35,317.79,565.83,246.09,463.28,395.14
Buckingham Co-Operative Company,310.72,249.42,470.16,221.33,532.71,370.38
Clinton Feed & Grain,428.24,310.66,537.69,316.57,422.65,465.61
Dandea Enterprises Inc,350.79,250.86,477.9,277.91,488.03,426.95
Dunkerton Cooperative,311.6,211.18,438.21,258.11,530.35,407.15
East Central Iowa Cooperative,301.36,229.34,450.08,239.83,537.96,388.87
East Central Iowa Cooperative,318.99,222.77,450.11,257.34,519.88,406.39
Farmers Cooperative,254.65,211.97,432.71,189.3,585.06,338.34
Farmers Elevator & Exchange,375.67,340.07,560.81,218.79,526.74,338.56
Gold Eagle Cooperative,182.37,176.56,417.17,213.28,654.27,351.27
Gold Eagle Cooperative,215.64,204.05,450.45,191.66,625.58,327.79
