Name,West River Transit,Vision Transportation of Elk River | Big Lake | Rogers | Zimmerman,River Cities Public Transit,Two Rivers Transportation,Blue Rivers Public Transportation,"Transport 360, LLC.","Five Rivers Transport, LLC",East Side River Transportation Inc,River City Transportation,River Transportation Co
Agency Rail LLC,885.89,493.55,795.65,577.52,448.05,360.41,382.29,167.19,157.16,279.5
Airial Construction,820.99,428.65,779.94,561.67,487.29,493.69,515.53,291,126.48,312.67
"Alliance Builders And Construction, Inc.",832.76,440.41,791.71,573.43,504.29,496.02,517.9,302.8,143.48,292.62
Artix Construction Inc,819.26,426.91,778.2,559.93,497.56,503.96,525.8,302.22,136.75,313.22
Assumption Cooperative Grain,960.82,568.48,866.09,650.76,422.89,335.26,357.13,114.61,220.03,281.38
Atkinson Grain & Fertilizer,814.35,425.55,692.42,474.3,373.47,379.86,401.71,241.16,46.81,396.71
B A B Grain,967.82,575.48,818.1,602.77,377.9,290.27,312.14,93.84,206.8,335.01
Bridgeport Grain INC,1062.91,670.56,972.67,754.54,531.59,443.95,410.48,129.47,334.17,199.57
Copper Construction Co,816.82,424.48,775.77,557.5,498.26,504.66,526.51,297.01,137.45,310.86
Crea Construction,832.76,440.41,791.71,573.43,504.29,496.02,517.9,302.8,143.48,292.62
Danvers Farmers Elevator,889.79,497.44,788.17,570.04,451.84,364.21,386.11,170,149.67,291.46
Donovan Farmers Cooperative,918.4,526.06,854.5,636.37,540.64,453.01,474.88,257.64,200,230.38
Eminence Grain & Coal CO,904.77,512.42,800.42,582.29,426.87,339.24,361.11,146.02,161.92,288.14
Farmers Grain Company Of Latham,925.89,533.54,818.88,600.75,416.3,328.67,350.54,135.45,180.39,288.83
Farmers Grain Service Inc,840.29,447.95,761.03,545.71,444.88,426.93,448.8,233.71,109.34,348.05
Geneva Construction Co,822.76,430.41,781.71,569.79,468.97,475.36,497.21,274.79,108.15,326.55
Goodwine Cooperative Grain Company,931.2,538.85,869.3,651.17,521.45,433.82,455.69,238.45,214.8,231.46
Goodwine Cooperative Grain Company,930.71,538.36,868.59,649.8,513.62,425.99,447.86,230.62,214.09,231.93
