Name,State,SN,Adress,Phone,Website,Located,Function
Agency Rail LLC,illinois,IL,"Bloomington, Illinois 61701",1-309-828-8600,www.agrail.com,Located in McLean County,Grain Elevators
Airial Construction,illinois,IL,"Glen Ellyn, Illinois 60137",1-630-682-5066,www.airialconstruction.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators"
"Alliance Builders And Construction, Inc.",illinois,IL,"Chicago, Illinois 60639",1-773-235-8765,www.alliance-building.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators, Home Improvement and Maintenance"
Artix Construction Inc,illinois,IL,"Schiller Park, Illinois 60176",1-847-366-7158,www.artixconstruction.com,Located in Cook County,"Bathroom Planning and Remodeling, Building Contractors, Construction Companies, Grain Elevators"
Assumption Cooperative Grain,illinois,IL,"Assumption, Illinois 62510",1-217-226-3213,acoop.com,Located in Christian County,Grain Elevators
Atkinson Grain & Fertilizer,illinois,IL,"Atkinson, Illinois 61235",1-309-936-7177,atkinsongrain.com,Located in Henry County,Grain Elevators
B A B Grain,illinois,IL,"Auburn, Illinois 62615",1-217-438-3316,babgrain.com,Located in Sangamon County,"Grain Bins, Grain Elevators"
Bridgeport Grain INC,illinois,IL,"Bridgeport, Illinois 62417",1-618-945-5711,bpgrain.com,Located in Lawrence County,Grain Elevators
Copper Construction Co,illinois,IL,"Bensenville, Illinois 60106",1-630-350-1535,www.copperconstructioncompany.com,Located in DuPage County,"Builders and Contractors, Building Contractors, Construction Companies, Construction Consulting and Management Services, Grain Elevators"
Crea Construction,illinois,IL,"Chicago, Illinois 60601",1-312-371-3827,www.creagc.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
Danvers Farmers Elevator,illinois,IL,"Danvers, Illinois 61732",1-309-963-4306,www.dfefarmpartners.com,Located in McLean County,Grain Elevators
Donovan Farmers Cooperative,illinois,IL,"Donovan, Illinois 60931",1-815-486-7325,donovanfarmerscoop.com,Located in Iroquois County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
Eminence Grain & Coal CO,illinois,IL,"Atlanta, Illinois 61723",1-217-648-2541,emgrain.com,Located in Logan County,Grain Elevators
Farmers Grain Company Of Latham,illinois,IL,"Latham, Illinois 62543",1-217-674-3546,www.farmersgrainlatham.com,Located in Logan County,Grain Elevators
Farmers Grain Service Inc,illinois,IL,"Grand Ridge, Illinois 61325",1-815-249-5515,farmersgrainservice.com,Located in La Salle County,Grain Elevators
Geneva Construction Co,illinois,IL,"Aurora, Illinois 60505",1-630-892-4357,genevaconstruction.net,Located in Kane County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
Goodwine Cooperative Grain Company,illinois,IL,"Milford, Illinois 60953",1-815-889-4422,www.goodwinecoop.com,Located in Iroquois County,Grain Elevators
Goodwine Cooperative Grain Company,illinois,IL,"Goodwine, Illinois 60939",1-815-457-2880,goodwinecoop.com,Located in Iroquois County,Grain Elevators
Grainland Cooperative,illinois,IL,"Eureka, Illinois 61530",1-309-467-2355,www.grainlandcooperative.com,Located in Woodford County,Grain Elevators
Grainland Elevator,illinois,IL,"Secor, Illinois 61771",1-309-744-2218,grainlandcooperative.com,Located in Woodford County,Grain Elevators
Grand Prairie Cooperative Inc,illinois,IL,"Ivesdale, Illinois 61851",1-217-564-2317,unitedprairiellc.com,Located in Champaign County,Grain Elevators
Graymont Cooperative Association Grain ELEV,illinois,IL,"Graymont, Illinois 61743",1-815-743-5321,graymontcoop.com,Located in Livingston County,"Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores"
Hartsburg Grain Company,illinois,IL,"Hartsburg, Illinois 62643",1-217-642-5211,hartgrain.com,Located in Logan County,Grain Elevators
Heartland Construction,illinois,IL,"Chicago, Illinois 60642",1-312-492-6500,thcgi.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Builders and Developers"
