Name,SN,Production,Ending
Agency Rail LLC,IL,426431.72,0.05
Airial Construction,IL,426431.72,0.05
"Alliance Builders And Construction, Inc.",IL,426431.72,0.05
Artix Construction Inc,IL,426431.72,0.05
Assumption Cooperative Grain,IL,426431.72,0.05
Atkinson Grain & Fertilizer,IL,426431.72,0.05
B A B Grain,IL,426431.72,0.05
Bridgeport Grain INC,IL,426431.72,0.05
Copper Construction Co,IL,426431.72,0.05
Crea Construction,IL,426431.72,0.05
Danvers Farmers Elevator,IL,426431.72,0.05
Donovan Farmers Cooperative,IL,426431.72,0.05
Eminence Grain & Coal CO,IL,426431.72,0.05
Farmers Grain Company Of Latham,IL,426431.72,0.05
Farmers Grain Service Inc,IL,426431.72,0.05
Geneva Construction Co,IL,426431.72,0.05
Goodwine Cooperative Grain Company,IL,426431.72,0.05
Goodwine Cooperative Grain Company,IL,426431.72,0.05
Grainland Cooperative,IL,426431.72,0.05
Grainland Elevator,IL,426431.72,0.05
Grand Prairie Cooperative Inc,IL,426431.72,0.05
Graymont Cooperative Association Grain ELEV,IL,426431.72,0.05
Hartsburg Grain Company,IL,426431.72,0.05
Heartland Construction,IL,426431.72,0.05
Hometeam Group Inc,IL,426431.72,0.05
Hudson Grain Co,IL,426431.72,0.05
I D Construction,IL,426431.72,0.05
Jayco Construction,IL,426431.72,0.05
Jersey County Grain Company,IL,426431.72,0.05
K T Richards Construction,IL,426431.72,0.05
Kitchen Seed Co Inc,IL,426431.72,0.05
Koehl Brothers Inc,IL,426431.72,0.05
Legend Exterior & Construction,IL,426431.72,0.05
Lincolnland Agri-Energy,IL,426431.72,0.05
Lumber 1 Construction,IL,426431.72,0.05
Midwest Ingredients Inc,IL,426431.72,0.05
Monica Elevator CO,IL,426431.72,0.05
Northern Grain Marketing,IL,426431.72,0.05
P&K Quality Construction,IL,426431.72,0.05
Path Construction Co Inc,IL,426431.72,0.05
Prentice Farmers Elevator,IL,426431.72,0.05
"R.A. James Construction, Inc.",IL,426431.72,0.05
Reyes Group Limited,IL,426431.72,0.05
Roanoke Farmers Association,IL,426431.72,0.05
Robert P Johnson Grain Company,IL,426431.72,0.05
Rock River Lumber & Grain Company,IL,426431.72,0.05
Shore Sales CO Inc,IL,426431.72,0.05
Siemer Milling Company,IL,426431.72,0.05
Stanford Grain Company,IL,426431.72,0.05
Top Ag Cooperative,IL,426431.72,0.05
Top Flight Grain,IL,426431.72,0.05
Tremont Cooperative Grain Company,IL,426431.72,0.05
Tri Central Cooperative - Main Ofc,IL,426431.72,0.05
Twomey Company,IL,426431.72,0.05
Union Iron Works Inc,IL,426431.72,0.05
US NATIONAL CONSTRUCTION,IL,426431.72,0.05
Wesemann Feeds,IL,426431.72,0.05
Bazooka-Farmstar Inc,IA,426431.72,0.05
Buckingham Co-Operative Company,IA,426431.72,0.05
Clinton Feed & Grain,IA,426431.72,0.05
Dandea Enterprises Inc,IA,426431.72,0.05
Dunkerton Cooperative,IA,426431.72,0.05
East Central Iowa Cooperative,IA,426431.72,0.05
East Central Iowa Cooperative,IA,426431.72,0.05
Farmers Cooperative,IA,426431.72,0.05
Farmers Elevator & Exchange,IA,426431.72,0.05
Gold Eagle Cooperative,IA,426431.72,0.05
Gold Eagle Cooperative,IA,426431.72,0.05
Gold Eagle Cooperative,IA,426431.72,0.05
Gold-Eagle Cooperative,IA,426431.72,0.05
Heartland Cooperative,IA,426431.72,0.05
JUHL Feed Store,IA,426431.72,0.05
Liquid Grow Tri Oak,IA,426431.72,0.05
North Central Cooperative,IA,426431.72,0.05
Professional Cooperative,IA,426431.72,0.05
Pruess Elevator Inc,IA,426431.72,0.05
Quality AG Service,IA,426431.72,0.05
Reiff Grain & Feed Inc,IA,426431.72,0.05
Shellsburg Elevator,IA,426431.72,0.05
State Line Cooperative Elevator,IA,426431.72,0.05
Tama Benton Cooperative Company,IA,426431.72,0.05
Tri-States Grain Conditioning,IA,426431.72,0.05
Agassiz Valley Grain,MN,426431.72,0.05
All American Cooperative,MN,426431.72,0.05
All American Cooperative,MN,426431.72,0.05
All-American Cooperative Viola,MN,426431.72,0.05
Bellingham Fertilizer Plant,MN,426431.72,0.05
Bird Island Bean Company,MN,426431.72,0.05
C-W Valley Cooperative,MN,426431.72,0.05
C-W Valley Cooperative - Comstock Elevator,MN,426431.72,0.05
Canby Farmers Grain Company,MN,426431.72,0.05
Dawson Grain Cooperative,MN,426431.72,0.05
Elbow Lake Cooperative Grain Company,MN,426431.72,0.05
Farm Service Elevator,MN,426431.72,0.05
Farmers Cooperative of Hanska - Main Office - Hanska,MN,426431.72,0.05
Farmers Mill & Elevator Inc,MN,426431.72,0.05
Forsbergs Inc,MN,426431.72,0.05
Humboldt-St Vincent Elevator,MN,426431.72,0.05
K & S Millwrights Inc,MN,426431.72,0.05
Munson Lakes Nutrition,MN,426431.72,0.05
Prairie Grain Partners LLC,MN,426431.72,0.05
Prairie Lakes Cooperative Elevator,MN,426431.72,0.05
Prinsburg Farmers Cooperative,MN,426431.72,0.05
Profile Industries Inc,MN,426431.72,0.05
Rapat Corporation,MN,426431.72,0.05
Red River Grain Company,MN,426431.72,0.05
River Region Cooperative - Main Office,MN,426431.72,0.05
South Central Grain & Energy,MN,426431.72,0.05
UAS Service Corporation,MN,426431.72,0.05
Van AHN & CO Inc,MN,426431.72,0.05
Waconia Manufacturing,MN,426431.72,0.05
Western Consolidated Cooperative,MN,426431.72,0.05
Boyd Grain Inc,IN,426431.72,0.05
Riley Equipment Inc,IN,426431.72,0.05
Agrex Inc,NE,426431.72,0.05
Batterton Waterproofing Inc,NE,426431.72,0.05
Central Valley AG,NE,426431.72,0.05
Cooperative Supply,NE,426431.72,0.05
Cooperative Supply Inc,NE,426431.72,0.05
Cooperative Supply Inc,NE,426431.72,0.05
Country Partners Cooperative,NE,426431.72,0.05
Country Partners Cooperative Company,NE,426431.72,0.05
Crossroads Cooperative Association,NE,426431.72,0.05
Crossroads Cooperative Association,NE,426431.72,0.05
CTEC Inc,NE,426431.72,0.05
Grain States Soya Inc,NE,426431.72,0.05
J E Meuret Grain Company,NE,426431.72,0.05
Kaapa Ethanol LLC,NE,426431.72,0.05
Kaapa Grains,NE,426431.72,0.05
Midwest Farmers Cooperative,NE,426431.72,0.05
Pride Grain,NE,426431.72,0.05
Shickley Grain CO Inc,NE,426431.72,0.05
Andersons Investment Service,OH,426431.72,0.05
Creamer Metal Products Inc,OH,426431.72,0.05
Deerfield Farms Service,OH,426431.72,0.05
Elgin Service Center,OH,426431.72,0.05
Farmers Elevator Grain & SUPL,OH,426431.72,0.05
Gerald Grain Center,OH,426431.72,0.05
Hicksville Grain Company,OH,426431.72,0.05
Jewell Grain Company,OH,426431.72,0.05
Keller Grain & Feed Inc,OH,426431.72,0.05
Pandora Grain & Supply,OH,426431.72,0.05
Scott Equity Exchange,OH,426431.72,0.05
Bewley ConStruction LLC,MO,426431.72,0.05
Butterfield & Associates Grain Inc,MO,426431.72,0.05
Cameron Cooperative Elevator Association - Mill & Office,MO,426431.72,0.05
"Capital Electric Line Builders, Inc.",MO,426431.72,0.05
Centric Projects LLC,MO,426431.72,0.05
Feed Products & Service Co,MO,426431.72,0.05
Glasgow MFA Agri Service,MO,426431.72,0.05
Home Matters Alliance LLC,MO,426431.72,0.05
Infinite Energy Construction,MO,426431.72,0.05
K C Supply CO Inc,MO,426431.72,0.05
Lawson Agri Service,MO,426431.72,0.05
MFA Agri Svc-Lexington,MO,426431.72,0.05
Mill & Elevator Supply CO Inc,MO,426431.72,0.05
Pilot Grove Cooperative Elevator,MO,426431.72,0.05
Robertson Construction Inc,MO,426431.72,0.05
Seed & Farm Supply,MO,426431.72,0.05
Twin Peaks Contracting Inc,MO,426431.72,0.05
Unerstall Construction,MO,426431.72,0.05
Whitley Construction Co LLC,MO,426431.72,0.05
Agassiz Seeds,ND,426431.72,0.05
Alton Grain Terminal,ND,426431.72,0.05
Bottineau Farmers Elevator,ND,426431.72,0.05
Cando Farmers Grain & Oil Cooperative - Elevator,ND,426431.72,0.05
Central Valley Bean Cooperative,ND,426431.72,0.05
Dakota Dry Bean Inc,ND,426431.72,0.05
Effertz Key Ranch Inc,ND,426431.72,0.05
Farmers Union Elevator,ND,426431.72,0.05
Finley Farmers Grain Company,ND,426431.72,0.05
