No.,Name,State,SN,Adress,Phone,Website,Located,Function
1,Agency Rail LLC,illinois,IL,"Bloomington, Illinois 61701",1-309-828-8600,www.agrail.com,Located in McLean County,Grain Elevators
2,Airial Construction,illinois,IL,"Glen Ellyn, Illinois 60137",1-630-682-5066,www.airialconstruction.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators"
3,"Alliance Builders And Construction, Inc.",illinois,IL,"Chicago, Illinois 60639",1-773-235-8765,www.alliance-building.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators, Home Improvement and Maintenance"
4,Artix Construction Inc,illinois,IL,"Schiller Park, Illinois 60176",1-847-366-7158,www.artixconstruction.com,Located in Cook County,"Bathroom Planning and Remodeling, Building Contractors, Construction Companies, Grain Elevators"
5,Assumption Cooperative Grain,illinois,IL,"Assumption, Illinois 62510",1-217-226-3213,acoop.com,Located in Christian County,Grain Elevators
6,Atkinson Grain & Fertilizer,illinois,IL,"Atkinson, Illinois 61235",1-309-936-7177,atkinsongrain.com,Located in Henry County,Grain Elevators
7,B A B Grain,illinois,IL,"Auburn, Illinois 62615",1-217-438-3316,babgrain.com,Located in Sangamon County,"Grain Bins, Grain Elevators"
8,Bridgeport Grain INC,illinois,IL,"Bridgeport, Illinois 62417",1-618-945-5711,bpgrain.com,Located in Lawrence County,Grain Elevators
9,Copper Construction Co,illinois,IL,"Bensenville, Illinois 60106",1-630-350-1535,www.copperconstructioncompany.com,Located in DuPage County,"Builders and Contractors, Building Contractors, Construction Companies, Construction Consulting and Management Services, Grain Elevators"
10,Crea Construction,illinois,IL,"Chicago, Illinois 60601",1-312-371-3827,www.creagc.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators"
11,Danvers Farmers Elevator,illinois,IL,"Danvers, Illinois 61732",1-309-963-4306,www.dfefarmpartners.com,Located in McLean County,Grain Elevators
12,Donovan Farmers Cooperative,illinois,IL,"Donovan, Illinois 60931",1-815-486-7325,donovanfarmerscoop.com,Located in Iroquois County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail"
