Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2020,1_1_0.5_1,100314500,80251600,3102100984746,3121632048425,19531063678,47444209,6666797826,286770836,267864989,2064109693,961787381,1468400898,7767887844,325072005,133335956,11169949,40125800,140440300,40125800,140440300,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,19.641969680786133
SSP1,2020,1_1_1_1,100314500,80251600,3100731454067,3121632048425,20900594358,47444209,6666797826,286770836,396507723,1870181199,1391849257,2437249340,7803793965,325072005,133335956,11169949,50306653,130259446,50306653,130259446,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,19.12367820739746
SSP1,2020,1_1_1_10,100314500,80251600,3032292631197,3121632048425,89339417227,47444209,6666797826,286770836,271703607,2209791876,1169287427,4468087736,74219533706,325072005,133335956,11169949,35434492,145131607,35434492,145131607,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,18.46699523925781
SSP1,2020,1_10_1_1,100314500,80251600,3099660304407,3121632048425,21971744017,47444209,6666797826,286770836,0,3306745257,0,3814533573,7849452314,325072005,133335956,11169949,0,180566100,0,180566100,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,18.34109687805176
SSP1,2020,10_1_1_1,100314500,80251600,3080495275728,3121632048425,41136772697,47444209,6666797826,2867708360,8673103824,9700148739,3816777131,1562077530,7802715073,325072005,133335956,11169949,88067080,92499019,88067080,92499019,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,18.52776336669922
SSP1,2025,1_1_0.5_1,117320663,93856530,3937134804261,3958921366867,21786562606,60196668,6470799145,324548659,330702808,2675724853,1124837720,1709073074,9090679676,353240865,129415982,12647689,46928265,164248928,46928265,164248928,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,18.390520095825195
SSP1,2025,1_1_1_1,117320663,93856530,3935543499352,3958921366867,23377867514,60196668,6470799145,324548659,518467258,2361253049,1688501806,2837048616,9117052309,353240865,129415982,12647689,60128902,151048291,60128902,151048291,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,17.841243743896484
SSP1,2025,1_1_1_10,117320663,93856530,3855482794488,3958921366867,103438572378,60196668,6470799145,324548659,327905319,2828636788,1359292585,5231502314,86835690897,353240865,129415982,12647689,42097442,169079751,42097442,169079751,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,17.661434173583984
SSP1,2025,1_10_1_1,117320663,93856530,3934236632462,3958921366867,24684734404,60196668,6470799145,324548659,0,4133576025,0,4534145083,9161468821,353240865,129415982,12647689,0,211177193,0,211177193,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,17.704744338989258
SSP1,2025,10_1_1_1,117320663,93856530,3910883949806,3958921366867,48037417060,60196668,6470799145,3245486599,10829013616,11932646200,4618506066,1756918292,9123850471,353240865,129415982,12647689,104887523,106289670,104887523,106289670,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,17.916593551635742
SSP1,2030,1_1_0.5_1,149734199,119787359,5934840125298,5961456600421,26616475122,82243650,6810130374,401996256,467871695,3661393612,1435609642,2121308816,11635921074,421394419,136202607,15670253,59893679,209627879,59893679,209627879,269521558,2449,1559,5388819124186,366781483348,186857064662,18998928223,0,19.12117958068848
SSP1,2030,1_1_1_1,149734199,119787359,5932873210445,5961456600421,28583389975,82243650,6810130374,401996256,649381215,3347668877,2031791955,3584159116,11676018528,421394419,136202607,15670253,73859758,195661800,73859758,195661800,269521558,2449,1559,5388819124186,366781483348,186857064662,18998928223,0,19.04534912109375
SSP1,2030,1_1_1_10,149734199,119787359,5830558421455,5961456600421,130898178965,82243650,6810130374,401996256,564124448,3601161383,1863417264,6714654154,110860451432,421394419,136202607,15670253,62339347,207182211,62339347,207182211,269521558,2449,1559,5388819124186,366781483348,186857064662,18998928223,0,20.51746940612793
SSP1,2030,1_10_1_1,149734199,119787359,5931151312089,5961456600421,30305288331,82243650,6810130374,401996256,0,5642720230,0,5639425234,11728772584,421394419,136202607,15670253,0,269521558,0,269521558,269521558,2449,1559,5388819124186,366781483348,186857064662,18998928223,0,19.705678939819336
SSP1,2030,10_1_1_1,149734199,119787359,5899795304252,5961456600421,61661296168,82243650,6810130374,4019962561,15565391763,15223769912,6255253872,2052156956,11652387077,421394419,136202607,15670253,139751392,129770166,139751392,129770166,269521558,2449,1559,5388819124186,366781483348,186857064662,18998928223,0,19.227672576904297
SSP1,2035,1_1_0.5_1,191102997,152882398,8830953442575,8863436359142,32482916566,109306807,6845775971,493850986,681961942,4973330552,1832242118,2680386238,14866061949,500151614,136915519,19250699,76441199,267544197,76441199,267544197,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,21.70704460144043
SSP1,2035,1_1_1_1,191102997,152882398,8828482747353,8863436359142,34953611789,109306807,6845775971,493850986,906189404,4519717694,2621336684,4564208404,14893225836,500151614,136915519,19250699,94916130,249069266,94916130,249069266,343985396,2441,1550,8136467136900,466614361385,237014928262,23339932593,0,22.145267486572266
