Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
SSP1,2020,1_1_0.5_1,100314500,80251600,3102040465569,3121632048425,19591582856,47444209,6679966236,286770836,261642704,2118742018,961787381,1460707987,7774521482,325335373,133599324,11169949,40125800,140440300,40125800,140440300,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,31.357330322265625
SSP1,2020,1_1_1_1,100314500,80251600,3100675181163,3121632048425,20956867262,47444209,6679966236,286770836,390273124,1917296846,1413811217,2415881983,7805422808,325335373,133599324,11169949,50681944,129884155,50681944,129884155,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,29.900999069213867
SSP1,2020,1_1_1_10,100314500,80251600,3032207858347,3121632048425,89424190077,47444209,6679966236,286770836,253109153,2261860079,1132456701,4456021631,74306561230,325335373,133599324,11169949,35502457,145063642,35502457,145063642,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,38.53989219665527
SSP1,2020,1_10_1_1,100314500,80251600,3099587606748,3121632048425,22044441677,47444209,6679966236,286770836,0,3381981712,0,3791883084,7856395598,325335373,133599324,11169949,0,180566100,0,180566100,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,31.156963348388672
SSP1,2020,10_1_1_1,100314500,80251600,3080333206139,3121632048425,41298842285,47444209,6679966236,2867708360,8596534017,9858985764,3885003822,1559929003,7803270872,325335373,133599324,11169949,88228361,92337738,88228361,92337738,180566100,2458,1571,2735316921435,246667361207,126105096008,13542669774,0,30.34296417236328
SSP1,2025,1_1_0.5_1,117320663,93856530,3936550463597,3958921366867,22370903270,60196668,7194978606,324548659,294118508,2576967133,1124837720,1697802839,9097453133,367724455,143899572,12647689,46928265,164248928,46928265,164248928,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,51.44164276123047
SSP1,2025,1_1_1_1,117320663,93856530,3934981211818,3958921366867,23940155048,60196668,7194978606,324548659,469962015,2278406923,1660945374,2825749370,9125367429,367724455,143899572,12647689,59502058,151675135,59502058,151675135,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,29.6248722076416
SSP1,2025,1_1_1_10,117320663,93856530,3854887622638,3958921366867,104033744228,60196668,7194978606,324548659,321379387,2675376132,1382703853,5275149982,86799410939,367724455,143899572,12647689,43532713,167644480,43532713,167644480,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,24.77699851989746
SSP1,2025,1_10_1_1,117320663,93856530,3933684100556,3958921366867,25237266310,60196668,7194978606,324548659,0,4023751694,0,4449295915,9184494765,367724455,143899572,12647689,0,211177193,0,211177193,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,27.60003089904785
SSP1,2025,10_1_1_1,117320663,93856530,3910922562447,3958921366867,47998804419,60196668,7194978606,3245486599,10420767102,11533826281,4681504318,1733643688,9128401155,367724455,143899572,12647689,105419709,105757484,105419709,105757484,211177193,2455,1567,3508368443146,288105417308,147113195064,15334311346,0,24.989999771118164
