,Scenario,Year,Rates,Demand_China,Demand_ROW,OBJ_Values,Revenue_Total,Cost_Total,Cost_Operation,Cost_Holding,Cost_Facility,Cost_Barges,Cost_Rails,Cost_BExport,Cost_SExport,Cost_Oceans,Total_production,Inventory,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,China_Price,ROW_Price,Revenue_Domestic,Revenue_China,Revenue_Row,Subsidy,Tax,Runtime
0,SSP2,1990,1_1_1_10,4707308,9038032,43424130442,52781580977,9357450535,1159025,3050224421,27881777,5994248,80945354,74886031,306975578,5809384098,75835115,61004488,1085285,2485917,11259423,2485917,11259423,13745341,2477,1592,24982381744,11660500795,14388761999,1749936438,1,3.8456859588623047
1,SSP2,1990,1_1_1_10,9414617,7531693,51080565422,61604710280,10524144857,1159025,2890175925,27881777,13628953,129216659,80819014,476023127,6905240373,75835115,57803518,1085285,1875863,15070448,1875863,15070448,16946311,2476,1592,24982381744,23312581263,11993925131,1315822140,0,4.574466705322266
0,SSP2,2005,1_1_1_10,13295000,25526400,259715556631,282407502648,22691946016,9522396,4795846480,78740498,33557818,283925305,248256422,850012436,16392084658,137803267,95916929,3064937,7842413,30978986,7842413,30978986,38821400,2475,1587,204037534552,32911426165,40516575311,4941966619,1,5.040205001831055
1,SSP2,2005,1_1_1_10,26590000,21272000,281227587239,307299268451,26071681212,9522396,4343816480,78740498,54987732,444640923,292160367,1194640995,19653171818,137803267,86876329,3064937,7983754,39878245,7983754,39878245,47862000,2472,1588,204037534552,65755684661,33790057643,3715991595,0,5.1807708740234375
0,SSP2,2010,1_1_1_10,27400000,52608000,989474187369,1032680003366,43205815996,22863364,6205182360,162211493,95780073,670884638,567146739,1690151657,33791595668,210425657,124103647,6314010,17342844,62665155,17342844,62665155,80008000,2472,1579,871656147453,67754555600,83088463895,10180836417,1,17.910207748413086
1,SSP2,2010,1_1_1_10,54800000,43840000,1033645645539,1083887061592,50241416052,22863364,5273582360,162211493,105481258,1055816168,590054708,2402990481,40628416218,210425657,105471647,6314010,17885924,80754075,17885924,80754075,98640000,2467,1581,871656147453,135223822400,69351859424,7655232315,0,18.80137634277344
0,SSP2,2015,1_1_1_10,40845950,78424224,2119340613980,2182274744231,62934130251,35024928,7698046435,241898535,141443597,1076996037,836958735,2523346040,50380415941,282648175,153960928,9417072,25651331,93618842,25651331,93618842,119270174,2470,1571,1942916029754,100899269690,123275169069,15184275717,1,22.677953720092773
1,SSP2,2015,1_1_1_10,81691900,65353520,2184978135915,2258475057460,73496921544,35024928,6309284135,241898535,184211195,1690536541,914614357,3612472772,60508879076,282648175,126185682,9417072,28071720,118973699,28071720,118973699,147045420,2462,1575,1942916029754,201164550560,102977030347,11417446797,0,18.043964385986328
0,SSP2,2020,1_1_1_10,50157250,96301920,2950203942493,3026478395887,76274453393,47441562,8370932371,286648285,169095915,1409181473,976498099,3149676947,61864978739,325044640,167418647,11166822,30425810,116033359,30425810,116033359,146459170,2468,1566,2733783245523,123811673051,150877868987,18005608325,1,19.389816284179688
1,SSP2,2020,1_1_1_10,100314500,80251600,3030757576333,3120094581967,89337005633,47441562,6665585871,286648285,245417828,2205199307,1118828407,4387413773,74380470598,325044640,133311717,11166822,34913581,145652518,34913581,145652518,180566100,2458,1571,2733783245523,246667361207,126105096008,13538879228,0,19.0847282409668
