,ToRiver_0,ToRiver_1,ToRiver_2,ToRiver_3,ToRiver_4,ToRiver_5,ToRiver_6,ToRiver_7,ToRiver_8,ToRiver_9,ToRail_0,ToRail_1,ToRail_2,ToRail_3,ToRail_4,ToRail_5,X_Facility
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270161246.96198773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211442545.81198773,0.0,143744677.81799474
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276685547.0919877,0.0,143744677.81799474
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224491146.06198773,0.0,143744677.81799474
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296258447.4719877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283209847.2219877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1191891769.6875124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553890719.6132196
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296258447.4719877,0.0,143744677.81799474
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263636946.8319877,0.0,143744677.81799474
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315831347.8619877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276685547.0919877,0.0,143744677.81799474
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328879948.1119877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283209847.2219877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224491146.06198773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,143744677.81799474
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244064046.4519877,0.0,143744677.81799474
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231015446.19198772,0.0,143744677.81799474
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283209847.2219877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965721973.5175124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553890719.6132195
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270161246.96198773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315831347.8619877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217966845.93198773,0.0,143744677.81799474
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,143744677.81799474
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289734147.3419877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224491146.06198773,0.0,143744677.81799474
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237539746.32198772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211442545.81198773,0.0,143744677.81799474
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296258447.4719877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231015446.19198772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143744677.81799474
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322355647.9819877,0.0,143744677.81799474
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814942109.4075123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553890719.6132196
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309307047.7319877,0.0,143744677.81799474
