,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,1765397964.6983328,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,246475041.56533727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1060526684.5766863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4559569897.674708,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,13642410444.885094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,777330332.0517961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
