Scenario,Year,Rates,OBJ_vaules,Cost_Farmers,Cost_Barges,Cost_Rails,Cost_Oceans,Total_production,Quantity_X_Facility,Quantity_X_Country_Stream,Quantity_X_Country_Rail,Quantity_Y_Stream_Export,Quantity_Y_Rail_Export,Quantity_Z_Export_Import,Demand
SSP1,2020,0.5_0.5_0.5_0.5,2756819772994,1353844787795,219121246843,194812698023,940238680965,79385707856,23815712356,17697635313,25163232401,17697635313,25163232401,42860867715,100314500
SSP1,2020,0.5_0.5_0.5_1,3685581613110,1357662732633,209803809092,238608902986,1830703809030,79385707856,23815712356,16920187717,25940679997,16920187717,25940679997,42860867715,100314500
SSP1,2020,0.5_0.5_0.5_5,10802416566302,1499334864326,62513296324,473968261504,8717797784780,79385707856,23815712356,4630097925,38230769789,4630097925,38230769789,42860867715,100314500
SSP1,2020,0.5_0.5_0.5_10,19450444560601,1581120152756,16235783308,531157656519,17273128608651,79385707856,23815712356,768699308,42092168406,768699308,42092168406,42860867715,100314500
SSP1,2020,0.5_0.5_1_0.5,2928869660776,1341576676182,325488076374,268317330758,944685218094,79385707856,23815712356,25381515065,17479352650,25381515065,17479352650,42860867715,100314500
SSP1,2020,0.5_0.5_1_1,3872729217878,1340272620415,322652597365,275694610037,1885307030694,79385707856,23815712356,25144922516,17715945198,25144922516,17715945198,42860867715,100314500
SSP1,2020,0.5_0.5_1_5,11199609016102,1385758528610,199637582664,649072143334,8916338402126,79385707856,23815712356,15445023471,27415844243,15445023471,27415844243,42860867715,100314500
SSP1,2020,0.5_0.5_1_10,19957761152652,1525851019416,194820282654,905915726429,17282371764784,79385707856,23815712356,5096727791,37764139923,5096727791,37764139923,42860867715,100314500
SSP1,2020,0.5_0.5_5_0.5,3022967691118,1468002423580,551445540596,1752687437,952964680137,79385707856,23815712356,42693127728,167739986,42693127728,167739986,42860867715,100314500
SSP1,2020,0.5_0.5_5_1,3972514428095,1467876980908,557276588194,0,1898558499626,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_5_5,11467805954843,1491497599258,770804926665,0,9156701069553,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_5_10,20427919655320,1572120858602,1324184201225,0,17482812236124,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_10_0.5,3023235178282,1467876980908,557276588194,0,949279249813,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_10_1,3972514428095,1467876980908,557276588194,0,1898558499626,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_10_5,11467805954843,1491497599258,770804926665,0,9156701069553,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_0.5_10_10,20427919655320,1572120858602,1324184201225,0,17482812236124,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_1_0.5_0.5,2881733692251,1518956696990,75887509587,300961794539,937125331767,79385707856,23815712356,3166029303,39694838412,3166029303,39694838412,42860867715,100314500
SSP1,2020,0.5_1_0.5_1,3805917366113,1521894715610,71507947944,357413377811,1806298965379,79385707856,23815712356,2983313852,39877553862,2983313852,39877553862,42860867715,100314500
SSP1,2020,0.5_1_0.5_5,10814575933731,1592889023209,0,531538649997,8641345901157,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,0.5_1_0.5_10,19452138440861,1591463184587,0,538744288256,17273128608651,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,0.5_1_1_0.5,3149327729968,1400917221873,299529104302,456783755881,943295288543,79385707856,23815712356,12496363716,30364503998,12496363716,30364503998,42860867715,100314500
SSP1,2020,0.5_1_1_1,4091526633983,1402740788389,292911374733,468412900349,1878659211143,79385707856,23815712356,12220271829,30640595885,12220271829,30640595885,42860867715,100314500
SSP1,2020,0.5_1_1_5,11324123249218,1524487368484,100781901584,925512585443,8724539034338,79385707856,23815712356,4204624125,38656243589,4204624125,38656243589,42860867715,100314500
SSP1,2020,0.5_1_1_10,19980335607934,1614102714300,0,1035058769482,17282371764784,79385707856,23815712356,0,42860867715,0,42860867715,42860867715,100314500
SSP1,2020,0.5_1_5_0.5,3547439919813,1455616097520,1011297020101,26571814069,1005152628755,79385707856,23815712356,40317826872,2543040842,40317826872,2543040842,42860867715,100314500
SSP1,2020,0.5_1_5_1,4512027026296,1492414235590,1072251931713,0,1898558499626,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
SSP1,2020,0.5_1_5_5,12099034535521,1492421865068,1145374743870,0,9412435567215,79385707856,23815712356,42860867715,0,42860867715,0,42860867715,100314500
