,RiverToExport_0,RiverToExport_1,RiverToExport_2,RiverToExport_3,RiverToExport_4,RiverToExport_5,RiverToExport_6,RiverToExport_7
0,3209842718.866611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3497836113.893839,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,418916451.8491325,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2669008295.9009533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4981017995.636179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2209948763.5256624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8042186330.475748,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17349766478.90278,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19897326995.984573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4382499440.29768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
