Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea,Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,54.26,0.05426324875381826,801.1119029126213,t/km2
Airial Construction,-88.085602,41.851961,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,29.32,0.029320820782446088,801.1119029126213,t/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,31.77,0.03177199828314039,801.1119029126213,t/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,86.12,0.08611907720803598,801.1119029126213,t/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,34.17,0.03417194544599787,801.1119029126213,t/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,42.32,0.04231764572042381,801.1119029126213,t/km2
B A B Grain,-89.658883,39.758174,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,21.52,0.021519487433003658,801.1119029126213,t/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,61.58471457250219,41.056328347461786,42.32879603249974,28.219259170932382,8.79,0.008787587896751003,4843.018099999999,t/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,50.61,0.050605557908494206,801.1119029126213,t/km2
Crea Construction,-87.816836,41.840134,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,31.68,0.03167727997888178,801.1119029126213,t/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,7.01,0.007007591728335672,801.1119029126213,t/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,40.34,0.0403426605697497,801.1119029126213,t/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,93.37,0.09336692412836814,801.1119029126213,t/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,71.6,0.07159776254820414,801.1119029126213,t/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,81.53,0.08152871398582102,801.1119029126213,t/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,8.654210660223452,5.769471942535345,5.946813574810006,3.964530659203627,9.32,0.009320020073013335,801.1119029126213,t/km2
