Name,BasinName,Production,Ending,EndingRate
Agency Rail LLC,OilCrop_MissppRN,2493.64,110.22,0.04419861807597113
Airial Construction,OilCrop_MissppRN,2493.64,73.72,0.02956502956123668
"Alliance Builders And Construction, Inc.",OilCrop_MissppRN,2493.64,179.05,0.07180269351810695
Artix Construction Inc,OilCrop_MissppRN,2493.64,44.67,0.017911831712518634
Assumption Cooperative Grain,OilCrop_MissppRN,2493.64,199.44,0.0799791742738494
Atkinson Grain & Fertilizer,OilCrop_MissppRN,2493.64,7.35,0.002946350150694188
B A B Grain,OilCrop_MissppRN,2493.64,239.24,0.09594166634149467
Bridgeport Grain INC,OilCrop_OhioR,6271.97,441.69,0.07042208234258314
Copper Construction Co,OilCrop_MissppRN,2493.64,235.93,0.09461285859997373
Crea Construction,OilCrop_MissppRN,2493.64,27.42,0.010995551761884836
Danvers Farmers Elevator,OilCrop_MissppRN,2493.64,243.4,0.09761028892763907
Donovan Farmers Cooperative,OilCrop_MissppRN,2493.64,167.96,0.06735661497021203
Eminence Grain & Coal CO,OilCrop_MissppRN,2493.64,156.42,0.06272771396835394
Farmers Grain Company Of Latham,OilCrop_MissppRN,2493.64,102.73,0.041195336309962485
Farmers Grain Service Inc,OilCrop_MissppRN,2493.64,73.25,0.029375368068835138
Geneva Construction Co,OilCrop_MissppRN,2493.64,123.64,0.04958185868976937
Goodwine Cooperative Grain Company,OilCrop_MissppRN,2493.64,185.14,0.07424298220034528
Goodwine Cooperative Grain Company,OilCrop_MissppRN,2493.64,227.62,0.09127957946306173
Grainland Cooperative,OilCrop_MissppRN,2493.64,6.63,0.0026571827777651324
Grainland Elevator,OilCrop_MissppRN,2493.64,176.27,0.07068654868665243
Grand Prairie Cooperative Inc,OilCrop_OhioR,6271.97,150.33,0.02396817845308622
Graymont Cooperative Association Grain ELEV,OilCrop_MissppRN,2493.64,116.85,0.04685790726369773
Hartsburg Grain Company,OilCrop_MissppRN,2493.64,77.78,0.03119138435887179
Heartland Construction,OilCrop_MissppRN,2493.64,69.21,0.027754166043719587
Hometeam Group Inc,OilCrop_MissppRN,2493.64,153.55,0.06157494795001487
Hudson Grain Co,OilCrop_MissppRN,2493.64,246.34,0.09878707417471505
I D Construction,OilCrop_MissppRN,2493.64,175.37,0.07032576874798543
Jayco Construction,OilCrop_MissppRN,2493.64,39.36,0.015782256210455158
Jersey County Grain Company,OilCrop_MissppRN,2493.64,227.3,0.09115033525534041
K T Richards Construction,OilCrop_MissppRN,2493.64,243.2,0.0975275623331277
Kitchen Seed Co Inc,OilCrop_MissppRN,2493.64,148.91,0.05971499543053739
Koehl Brothers Inc,OilCrop_MissppRN,2493.64,229.25,0.09193360388359503
Legend Exterior & Construction,OilCrop_MissppRN,2493.64,164.81,0.06609197271570587
Lincolnland Agri-Energy,OilCrop_OhioR,6271.97,556.58,0.08874049655944126
Lumber 1 Construction,OilCrop_MissppRN,2493.64,77.53,0.03109108366812059
Midwest Ingredients Inc,OilCrop_MissppRN,2493.64,103.34,0.041439682275247594
Monica Elevator CO,OilCrop_MissppRN,2493.64,109.22,0.04379889846767634
Northern Grain Marketing,OilCrop_MissppRN,2493.64,238.11,0.09548642565366305
P&K Quality Construction,OilCrop_MissppRN,2493.64,45.45,0.018227170901838664
Path Construction Co Inc,OilCrop_MissppRN,2493.64,0.35,0.00014042097551240085
Prentice Farmers Elevator,OilCrop_MissppRN,2493.64,244.32,0.09797874452995274
"R.A. James Construction, Inc.",OilCrop_MissppRN,2493.64,22.86,0.009166771798240936
Reyes Group Limited,OilCrop_MissppRN,2493.64,41.34,0.016579550399674948
Roanoke Farmers Association,OilCrop_MissppRN,2493.64,247.89,0.09940968950263615
Robert P Johnson Grain Company,OilCrop_MissppRN,2493.64,158.85,0.06370227986814625
Rock River Lumber & Grain Company,OilCrop_MissppRN,2493.64,2.13,0.0008530388626851071
Shore Sales CO Inc,OilCrop_OhioR,6271.97,489.43,0.07803501098217658
Siemer Milling Company,OilCrop_OhioR,6271.97,501.37,0.07993845035483206
Stanford Grain Company,OilCrop_MissppRN,2493.64,54.93,0.022029469972277525
Top Ag Cooperative,OilCrop_MissppRN,2493.64,20.13,0.008073145353389388
Top Flight Grain,OilCrop_MissppRN,2493.64,208.41,0.08357848533243048
Tremont Cooperative Grain Company,OilCrop_MissppRN,2493.64,235.83,0.09457063989016648
Tri Central Cooperative - Main Ofc,OilCrop_MissppRN,2493.64,156.83,0.06289155084777998
Twomey Company,OilCrop_MissppRN,2493.64,182.29,0.07310203159007732
Union Iron Works Inc,OilCrop_MissppRN,2493.64,75.53,0.03028725484038739
US NATIONAL CONSTRUCTION,OilCrop_MissppRN,2493.64,215.67,0.08648775732636829
Wesemann Feeds,OilCrop_MissppRN,2493.64,75.91,0.03044237105779124
Bazooka-Farmstar Inc,OilCrop_MissppRN,2493.64,176.74,0.0708747844928167
Buckingham Co-Operative Company,OilCrop_MissppRN,2493.64,11.86,0.004756837373906431
Clinton Feed & Grain,OilCrop_MissppRN,2493.64,28.6,0.011468186805508295
Dandea Enterprises Inc,OilCrop_MissppRN,2493.64,10.52,0.004219816033955525
Dunkerton Cooperative,OilCrop_MissppRN,2493.64,142.54,0.05716211382764828
East Central Iowa Cooperative,OilCrop_MissppRN,2493.64,106.87,0.04285643743468236
East Central Iowa Cooperative,OilCrop_MissppRN,2493.64,67.28,0.026979801206358334
Farmers Cooperative,OilCrop_MissppRN,2493.64,166.34,0.0667076574155413
Farmers Elevator & Exchange,OilCrop_MissppRN,2493.64,186.66,0.07485446585700166
Gold Eagle Cooperative,OilCrop_MissppRN,2493.64,39.71,0.015925041839638242
Gold Eagle Cooperative,OilCrop_MissppRN,2493.64,118.29,0.0474350645578636
Gold Eagle Cooperative,OilCrop_MissppRN,2493.64,169.12,0.0678213712183919
Gold-Eagle Cooperative,OilCrop_MissppRN,2493.64,94.36,0.037840556964632274
Heartland Cooperative,OilCrop_MissppRN,2493.64,193.69,0.07767325843448605
JUHL Feed Store,OilCrop_MissppRN,2493.64,243.69,0.09772609329831114
Liquid Grow Tri Oak,OilCrop_MissppRN,2493.64,249.06,0.09987791076570193
North Central Cooperative,OilCrop_MissppRN,2493.64,219.92,0.0881911362494496
Professional Cooperative,OilCrop_MissppRN,2493.64,48.13,0.019301263708133076
Pruess Elevator Inc,OilCrop_MissppRN,2493.64,240.41,0.0964088975345255
Quality AG Service,OilCrop_MissppRN,2493.64,115.4,0.04627603956758445
Reiff Grain & Feed Inc,OilCrop_MissppRN,2493.64,32.85,0.01317511943228925
Shellsburg Elevator,OilCrop_MissppRN,2493.64,1.41,0.0005639879790256041
State Line Cooperative Elevator,OilCrop_MissppRN,2493.64,50.28,0.020162828711943172
Tama Benton Cooperative Company,OilCrop_MissppRN,2493.64,131.31,0.05265915720058213
Tri-States Grain Conditioning,OilCrop_MissouriR,30844.0,2345.82,0.07605442061833326
Agassiz Valley Grain,OilCrop_NelsonR,963.66,12.6,0.013074403233835307
All American Cooperative,OilCrop_MissppRN,2493.64,44.2,0.01772351564400567
All American Cooperative,OilCrop_MissppRN,2493.64,209.85,0.08415214420951814
All-American Cooperative Viola,OilCrop_MissppRN,2493.64,180.54,0.07239958864178532
Bellingham Fertilizer Plant,OilCrop_MissppRN,2493.64,22.83,0.009153726836671627
Bird Island Bean Company,OilCrop_MissppRN,2493.64,36.81,0.01476068373627919
C-W Valley Cooperative,OilCrop_NelsonR,963.66,9.62,0.009986745758067373
C-W Valley Cooperative - Comstock Elevator,OilCrop_NelsonR,963.66,42.74,0.044356529386990785
Canby Farmers Grain Company,OilCrop_MissppRN,2493.64,3.74,0.0015013734186599236
Dawson Grain Cooperative,OilCrop_MissppRN,2493.64,197.64,0.079258317457608
Elbow Lake Cooperative Grain Company,OilCrop_NelsonR,963.66,17.88,0.01854925334296891
Farm Service Elevator,OilCrop_MissppRN,2493.64,201.18,0.08067869381139815
Farmers Cooperative of Hanska - Main Office - Hanska,OilCrop_MissppRN,2493.64,189.4,0.07595298778831845
Farmers Mill & Elevator Inc,OilCrop_MissppRN,2493.64,56.75,0.02275760577885717
Forsbergs Inc,OilCrop_NelsonR,963.66,34.08,0.03536016674353061
Humboldt-St Vincent Elevator,OilCrop_NelsonR,963.66,64.37,0.06680121195981338
K & S Millwrights Inc,OilCrop_MissppRN,2493.64,153.88,0.06170754330941436
Munson Lakes Nutrition,OilCrop_MissppRN,2493.64,0.56,0.000224022340921437
Prairie Grain Partners LLC,OilCrop_MissppRN,2493.64,191.98,0.0769886791694587
Prairie Lakes Cooperative Elevator,OilCrop_MissppRN,2493.64,239.11,0.09588820923554878
Prinsburg Farmers Cooperative,OilCrop_MissppRN,2493.64,63.68,0.02553509747254875
Profile Industries Inc,OilCrop_MissppRN,2493.64,168.07,0.06739826567675182
Rapat Corporation,OilCrop_NelsonR,963.66,81.86,0.08494643849283431
Red River Grain Company,OilCrop_NelsonR,963.66,7.16,0.00742796869889969
River Region Cooperative - Main Office,OilCrop_MissppRN,2493.64,201.63,0.0808591553210741
South Central Grain & Energy,OilCrop_MissppRN,2493.64,55.29,0.022173119072728165
UAS Service Corporation,OilCrop_NelsonR,963.66,28.12,0.02917588016275243
Van AHN & CO Inc,OilCrop_MissppRN,2493.64,185.64,0.07444537442741715
Waconia Manufacturing,OilCrop_MissppRN,2493.64,150.6,0.060393620235525546
Western Consolidated Cooperative,OilCrop_MissppRN,2493.64,130.35,0.05227328304539134
Boyd Grain Inc,OilCrop_OhioR,6271.97,345.55,0.0550939330674026
Riley Equipment Inc,OilCrop_OhioR,6271.97,363.06,0.05788538599194056
Agrex Inc,OilCrop_MissouriR,30844.0,1508.38,0.048903614422389864
Batterton Waterproofing Inc,OilCrop_MissouriR,30844.0,1003.43,0.03253242377100807
Central Valley AG,OilCrop_MissouriR,30844.0,3083.29,0.09996404298740445
Cooperative Supply,OilCrop_MissouriR,30844.0,3016.38,0.0977947427944833
Cooperative Supply Inc,OilCrop_MissouriR,30844.0,2807.38,0.09101860826104448
Cooperative Supply Inc,OilCrop_MissouriR,30844.0,2955.68,0.09582688472573715
Country Partners Cooperative,OilCrop_MissouriR,30844.0,2885.91,0.09356477100496599
Country Partners Cooperative Company,OilCrop_MissouriR,30844.0,2161.65,0.07008340167114048
Crossroads Cooperative Association,OilCrop_MissouriR,30844.0,3021.97,0.09797595066126677
Crossroads Cooperative Association,OilCrop_MissouriR,30844.0,2110.48,0.06842428872723491
CTEC Inc,OilCrop_MissouriR,30844.0,1663.29,0.05392597992424473
Grain States Soya Inc,OilCrop_MissouriR,30844.0,331.88,0.010759815910532267
J E Meuret Grain Company,OilCrop_MissouriR,30844.0,2195.54,0.07118205934459745
Kaapa Ethanol LLC,OilCrop_MissouriR,30844.0,1706.33,0.0553214560502732
Kaapa Grains,OilCrop_MissouriR,30844.0,2370.64,0.07685894078966862
Midwest Farmers Cooperative,OilCrop_MissouriR,30844.0,905.67,0.02936283436922619
Pride Grain,OilCrop_MissouriR,30844.0,343.22,0.011127761975664962
Shickley Grain CO Inc,OilCrop_MissouriR,30844.0,2068.26,0.06705563785891562
Andersons Investment Service,OilCrop_GreatLakes,11007.5,821.6,0.07463971841711994
Creamer Metal Products Inc,OilCrop_OhioR,6271.97,154.87,0.02469292335615043
Deerfield Farms Service,OilCrop_OhioR,6271.97,617.36,0.09843118240381346
Elgin Service Center,OilCrop_GreatLakes,11007.5,584.66,0.05311453511520174
Farmers Elevator Grain & SUPL,OilCrop_GreatLakes,11007.5,487.08,0.0442495024760576
Gerald Grain Center,OilCrop_GreatLakes,11007.5,198.03,0.01799018839205314
Hicksville Grain Company,OilCrop_GreatLakes,11007.5,792.98,0.07203974789120246
Jewell Grain Company,OilCrop_GreatLakes,11007.5,276.34,0.025105109924975767
Keller Grain & Feed Inc,OilCrop_OhioR,6271.97,89.68,0.014297926334759736
Pandora Grain & Supply,OilCrop_GreatLakes,11007.5,70.47,0.006402355055169196
Scott Equity Exchange,OilCrop_GreatLakes,11007.5,319.71,0.029044525663222
Bewley ConStruction LLC,OilCrop_ArkWhtRedR,14642.81,911.35,0.06223884254891303
Butterfield & Associates Grain Inc,OilCrop_MissouriR,30844.0,232.51,0.00753834967525926
Cameron Cooperative Elevator Association - Mill & Office,OilCrop_MissouriR,30844.0,1065.21,0.03453555297726144
"Capital Electric Line Builders, Inc.",OilCrop_MissouriR,30844.0,2366.57,0.07672716453148304
Centric Projects LLC,OilCrop_MissouriR,30844.0,143.48,0.00465182567925757
Feed Products & Service Co,OilCrop_MissppRN,2493.64,239.26,0.09594969149242738
Glasgow MFA Agri Service,OilCrop_MissouriR,30844.0,643.26,0.02085533886819274
Home Matters Alliance LLC,OilCrop_MissppRN,2493.64,66.13,0.026519816959741472
Infinite Energy Construction,OilCrop_MissouriR,30844.0,2662.33,0.08631609486937815
K C Supply CO Inc,OilCrop_MissouriR,30844.0,268.18,0.00869483757021936
Lawson Agri Service,OilCrop_MissouriR,30844.0,326.27,0.010578045754014987
MFA Agri Svc-Lexington,OilCrop_MissouriR,30844.0,628.46,0.020375395124977425
Mill & Elevator Supply CO Inc,OilCrop_MissouriR,30844.0,1650.57,0.053513396529356515
Pilot Grove Cooperative Elevator,OilCrop_MissouriR,30844.0,144.27,0.004677411039195589
Robertson Construction Inc,OilCrop_MissppRN,2493.64,170.43,0.06834502967743933
Seed & Farm Supply,OilCrop_ArkWhtRedR,14642.81,517.93,0.035370855110920515
Twin Peaks Contracting Inc,OilCrop_MissppRN,2493.64,243.44,0.09762499138157943
Unerstall Construction,OilCrop_MissppRN,2493.64,221.13,0.08867789277884223
Whitley Construction Co LLC,OilCrop_MissouriR,30844.0,260.83,0.008456264889995135
Agassiz Seeds,OilCrop_NelsonR,963.66,82.89,0.08601075745321785
Alton Grain Terminal,OilCrop_NelsonR,963.66,51.92,0.053874149007505964
Bottineau Farmers Elevator,OilCrop_NelsonR,963.66,30.94,0.03210565322210494
Cando Farmers Grain & Oil Cooperative - Elevator,OilCrop_NelsonR,963.66,2.24,0.002323212459857471
Central Valley Bean Cooperative,OilCrop_NelsonR,963.66,69.99,0.07262494324238686
Dakota Dry Bean Inc,OilCrop_NelsonR,963.66,77.95,0.080889982072222
Effertz Key Ranch Inc,OilCrop_NelsonR,963.66,45.48,0.04719686372738972
Farmers Union Elevator,OilCrop_MissouriR,30844.0,1900.3,0.06161009982351708
Finley Farmers Grain Company,OilCrop_NelsonR,963.66,93.6,0.09713325947886635
Fordville CO Op Marketing Association,OilCrop_NelsonR,963.66,66.95,0.06947778111169764
Gutter Topper OF North Dakota,OilCrop_MissouriR,30844.0,2920.51,0.09468633832053584
Harvey Farmers Elevator,OilCrop_MissouriR,30844.0,1675.92,0.05433550899979604
James Valley Grain,OilCrop_MissouriR,30844.0,535.44,0.017359477144107294
