Name,LON,LAT,BasinName,Production,Ending,EndingRate
Agency Rail LLC,-88.847333,40.490883,OilCrop_MissppRN,248600.0,3460.45,0.013919747282305528
Airial Construction,-88.085602,41.851961,OilCrop_MissppRN,248600.0,2657.57,0.01069013434952697
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,OilCrop_MissppRN,248600.0,7495.8,0.030152063688633147
Artix Construction Inc,-87.816836,41.840134,OilCrop_MissppRN,248600.0,22625.3,0.0910108774683305
Assumption Cooperative Grain,-89.277259,39.545839,OilCrop_MissppRN,248600.0,18403.45,0.07402834907974465
Atkinson Grain & Fertilizer,-90.131437,41.353145,OilCrop_MissppRN,248600.0,4662.16,0.018753649717421994
B A B Grain,-89.658883,39.758174,OilCrop_MissppRN,248600.0,23318.35,0.09379868986202178
Bridgeport Grain INC,-87.726786,38.719963,OilCrop_OhioR,1042990.0,92818.31,0.08899251748018053
Copper Construction Co,-88.085602,41.851961,OilCrop_MissppRN,248600.0,22215.81,0.08936365872564875
Crea Construction,-87.816836,41.840134,OilCrop_MissppRN,248600.0,13141.89,0.05286361105938907
Danvers Farmers Elevator,-88.847333,40.490883,OilCrop_MissppRN,248600.0,14902.92,0.05994738450680712
Donovan Farmers Cooperative,-87.824344,40.747251,OilCrop_MissppRN,248600.0,206.54,0.0008308069355977499
Eminence Grain & Coal CO,-89.367545,40.124564,OilCrop_MissppRN,248600.0,9951.52,0.040030257551400605
Farmers Grain Company Of Latham,-89.367545,40.124564,OilCrop_MissppRN,248600.0,16826.67,0.06768571635161444
Farmers Grain Service Inc,-88.885951,41.344002,OilCrop_MissppRN,248600.0,23995.79,0.09652370407980654
Geneva Construction Co,-88.428645,41.938852,OilCrop_MissppRN,248600.0,3622.96,0.014573437716403704
Goodwine Cooperative Grain Company,-87.824344,40.747251,OilCrop_MissppRN,248600.0,14735.3,0.05927312097527199
Goodwine Cooperative Grain Company,-87.824344,40.747251,OilCrop_MissppRN,248600.0,1950.93,0.00784765516091429
Grainland Cooperative,-89.211128,40.788226,OilCrop_MissppRN,248600.0,21128.33,0.08498924108892775
Grainland Elevator,-89.211128,40.788226,OilCrop_MissppRN,248600.0,5276.76,0.021225910849917106
Grand Prairie Cooperative Inc,-88.199166,40.140104,OilCrop_OhioR,1042990.0,47807.8,0.04583725947935448
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,OilCrop_MissppRN,248600.0,21148.9,0.0850719942516318
Hartsburg Grain Company,-89.367545,40.124564,OilCrop_MissppRN,248600.0,9194.45,0.03698492683265142
Heartland Construction,-87.816836,41.840134,OilCrop_MissppRN,248600.0,3549.48,0.014277891596193238
Hometeam Group Inc,-87.816836,41.840134,OilCrop_MissppRN,248600.0,19329.24,0.0777523689643927
Hudson Grain Co,-88.847333,40.490883,OilCrop_MissppRN,248600.0,4496.74,0.0180882676274682
I D Construction,-88.452342,42.324432,OilCrop_MissppRN,248600.0,22220.73,0.0893834550531292
Jayco Construction,-89.658883,39.758174,OilCrop_MissppRN,248600.0,12372.06,0.049766944497986895
Jersey County Grain Company,-90.667537,39.16925,OilCrop_MissppRN,248600.0,22649.98,0.09111012511989111
K T Richards Construction,-87.978648,41.44505,OilCrop_MissppRN,248600.0,20710.06,0.08330676989101529
Kitchen Seed Co Inc,-90.886303,39.622511,OilCrop_MissppRN,248600.0,14781.59,0.05945932429622443
Koehl Brothers Inc,-88.557724,40.891579,OilCrop_MissppRN,248600.0,17471.93,0.07028127990652308
Legend Exterior & Construction,-88.085602,41.851961,OilCrop_MissppRN,248600.0,20730.07,0.08338725256040488
Lincolnland Agri-Energy,-87.759567,39.002704,OilCrop_OhioR,1042990.0,7557.67,0.00724615362135228
Lumber 1 Construction,-87.816836,41.840134,OilCrop_MissppRN,248600.0,24553.24,0.09876605135100831
Midwest Ingredients Inc,-89.759969,40.788053,OilCrop_MissppRN,248600.0,791.64,0.003184402356516236
Monica Elevator CO,-89.759969,40.788053,OilCrop_MissppRN,248600.0,690.42,0.002777228302172796
Northern Grain Marketing,-89.528673,41.404133,OilCrop_MissppRN,248600.0,10931.85,0.04397365104739727
P&K Quality Construction,-89.277259,39.545839,OilCrop_MissppRN,248600.0,6836.24,0.027498955100292155
Path Construction Co Inc,-87.816836,41.840134,OilCrop_MissppRN,248600.0,19778.77,0.07956060268587335
Prentice Farmers Elevator,-90.247407,39.973553,OilCrop_MissppRN,248600.0,11220.65,0.045135344668823074
"R.A. James Construction, Inc.",-87.816836,41.840134,OilCrop_MissppRN,248600.0,5352.01,0.021528599487049105
Reyes Group Limited,-87.816836,41.840134,OilCrop_MissppRN,248600.0,14180.06,0.05703966378352301
Roanoke Farmers Association,-89.211128,40.788226,OilCrop_MissppRN,248600.0,2067.56,0.008316796484320921
Robert P Johnson Grain Company,-90.201473,39.715563,OilCrop_MissppRN,248600.0,15836.07,0.06370102029705724
Rock River Lumber & Grain Company,-89.9141,41.756286,OilCrop_MissppRN,248600.0,23140.17,0.09308193959185983
Shore Sales CO Inc,-88.199166,40.140104,OilCrop_OhioR,1042990.0,37558.76,0.03601066078277408
Siemer Milling Company,-88.589866,39.059805,OilCrop_OhioR,1042990.0,9001.43,0.008630405959182574
Stanford Grain Company,-88.847333,40.490883,OilCrop_MissppRN,248600.0,3668.13,0.01475513249453977
Top Ag Cooperative,-89.435552,38.88684,OilCrop_MissppRN,248600.0,1473.78,0.005928306173683173
Top Flight Grain,-88.591112,40.010348,OilCrop_MissppRN,248600.0,22602.49,0.09091911895392765
Tremont Cooperative Grain Company,-89.513424,40.507537,OilCrop_MissppRN,248600.0,12352.12,0.04968671073591151
Tri Central Cooperative - Main Ofc,-87.824344,40.747251,OilCrop_MissppRN,248600.0,20040.63,0.0806139770339744
Twomey Company,-90.615017,40.848824,OilCrop_MissppRN,248600.0,19202.29,0.07724170398379403
Union Iron Works Inc,-88.961566,39.859997,OilCrop_MissppRN,248600.0,18072.12,0.07269559326297981
US NATIONAL CONSTRUCTION,-87.816836,41.840134,OilCrop_MissppRN,248600.0,16123.13,0.06485570026908558
Wesemann Feeds,-88.77032,41.893537,OilCrop_MissppRN,248600.0,21328.84,0.08579579953772408
Bazooka-Farmstar Inc,-91.717867,41.335614,OilCrop_MissppRN,248600.0,9656.23,0.038842446088374435
Buckingham Co-Operative Company,-92.532561,42.079818,OilCrop_MissppRN,248600.0,2536.28,0.010202260481460057
Clinton Feed & Grain,-90.531972,41.898036,OilCrop_MissppRN,248600.0,10240.63,0.041193195339621916
Dandea Enterprises Inc,-91.599033,42.078966,OilCrop_MissppRN,248600.0,20632.66,0.08299540142465414
Dunkerton Cooperative,-92.308832,42.470098,OilCrop_MissppRN,248600.0,12516.18,0.05034665260371692
East Central Iowa Cooperative,-92.308832,42.470098,OilCrop_MissppRN,248600.0,2759.54,0.0111003075260226
East Central Iowa Cooperative,-91.837854,42.470814,OilCrop_MissppRN,248600.0,13641.15,0.05487186887848994
Farmers Cooperative,-93.240405,42.383881,OilCrop_MissppRN,248600.0,653.74,0.0026296814169816884
Farmers Elevator & Exchange,-91.259615,41.218528,OilCrop_MissppRN,248600.0,21266.13,0.08554357721503948
Gold Eagle Cooperative,-94.206724,43.204203,OilCrop_MissppRN,248600.0,5738.13,0.023081771507136473
Gold Eagle Cooperative,-93.735145,42.733092,OilCrop_MissppRN,248600.0,10983.78,0.04418253652420775
Gold Eagle Cooperative,-94.207168,42.776468,OilCrop_MissppRN,248600.0,12567.27,0.05055218427865221
Gold-Eagle Cooperative,-93.735145,42.733092,OilCrop_MissppRN,248600.0,18125.0,0.07290827352444663
Heartland Cooperative,-93.573539,41.685507,OilCrop_MissppRN,248600.0,13232.16,0.053226723035513776
JUHL Feed Store,-94.396842,42.036249,OilCrop_MissppRN,248600.0,21511.43,0.0865302704501166
Liquid Grow Tri Oak,-91.259615,41.218528,OilCrop_MissppRN,248600.0,23554.8,0.0947497950493541
North Central Cooperative,-93.735145,42.733092,OilCrop_MissppRN,248600.0,16146.85,0.06495113867841835
Professional Cooperative,-94.640411,42.385193,OilCrop_MissppRN,248600.0,3435.77,0.013820483648799241
Pruess Elevator Inc,-91.132438,41.772328,OilCrop_MissppRN,248600.0,2499.14,0.010052840838537625
Quality AG Service,-92.869011,41.029803,OilCrop_MissppRN,248600.0,5671.42,0.022813431725951648
Reiff Grain & Feed Inc,-91.948896,41.031777,OilCrop_MissppRN,248600.0,12604.79,0.050703116451856586
Shellsburg Elevator,-92.06575,42.080194,OilCrop_MissppRN,248600.0,19619.91,0.07892158603755581
State Line Cooperative Elevator,-94.206724,43.204203,OilCrop_MissppRN,248600.0,18201.23,0.07321491503814115
Tama Benton Cooperative Company,-92.532561,42.079818,OilCrop_MissppRN,248600.0,16328.09,0.06568018101976383
Tri-States Grain Conditioning,-95.150889,43.377919,OilCrop_MissouriR,245509.09,23935.69,0.09749409278864682
Agassiz Valley Grain,-96.490659,46.892358,OilCrop_NelsonR,133851.2,4361.76,0.03258667080383306
All American Cooperative,-92.401759,44.003767,OilCrop_MissppRN,248600.0,429.13,0.0017261754915579575
All American Cooperative,-92.401759,44.003767,OilCrop_MissppRN,248600.0,19719.43,0.07932191286948262
All-American Cooperative Viola,-92.401759,44.003767,OilCrop_MissppRN,248600.0,8184.01,0.03292037657067026
Bellingham Fertilizer Plant,-96.173524,44.995482,OilCrop_MissppRN,248600.0,19380.2,0.07795735001804652
Bird Island Bean Company,-94.947128,44.726822,OilCrop_MissppRN,248600.0,9677.27,0.03892708156169579
C-W Valley Cooperative,-96.468335,46.357069,OilCrop_NelsonR,133851.2,6572.08,0.049099907197366496
C-W Valley Cooperative - Comstock Elevator,-96.468335,46.357069,OilCrop_NelsonR,133851.2,149.63,0.0011178887672073866
Canby Farmers Grain Company,-95.868371,44.716256,OilCrop_MissppRN,248600.0,8446.27,0.03397536102164709
Dawson Grain Cooperative,-96.173524,44.995482,OilCrop_MissppRN,248600.0,17254.28,0.06940581066802332
Elbow Lake Cooperative Grain Company,-96.012183,45.934059,OilCrop_NelsonR,133851.2,12166.3,0.09089418772396748
Farm Service Elevator,-95.004726,45.152377,OilCrop_MissppRN,248600.0,5023.16,0.020205783516420696
Farmers Cooperative of Hanska - Main Office - Hanska,-94.727601,44.242145,OilCrop_MissppRN,248600.0,14383.17,0.05785666179818037
Farmers Mill & Elevator Inc,-93.065442,44.671878,OilCrop_MissppRN,248600.0,18758.08,0.07545484782556966
Forsbergs Inc,-96.036709,48.06624,OilCrop_NelsonR,133851.2,10449.27,0.07806631715647226
Humboldt-St Vincent Elevator,-96.782876,48.776639,OilCrop_NelsonR,133851.2,10491.52,0.07838193886740485
K & S Millwrights Inc,-94.947128,44.726822,OilCrop_MissppRN,248600.0,20006.03,0.08047478955434792
Munson Lakes Nutrition,-93.963063,45.173958,OilCrop_MissppRN,248600.0,23398.96,0.09412293357373
Prairie Grain Partners LLC,-95.868371,44.716256,OilCrop_MissppRN,248600.0,24175.13,0.09724508787027887
Prairie Lakes Cooperative Elevator,-95.444511,45.586009,OilCrop_MissppRN,248600.0,1139.18,0.00458236427632106
Prinsburg Farmers Cooperative,-95.004726,45.152377,OilCrop_MissppRN,248600.0,11625.5,0.04676386452503582
Profile Industries Inc,-93.476896,45.004583,OilCrop_MissppRN,248600.0,24364.69,0.0980075912195636
Rapat Corporation,-96.490659,46.892358,OilCrop_NelsonR,133851.2,9484.2,0.07085630140675751
Red River Grain Company,-96.468335,46.357069,OilCrop_NelsonR,133851.2,1683.41,0.01257674170514389
River Region Cooperative - Main Office,-94.727601,44.242145,OilCrop_MissppRN,248600.0,18925.67,0.07612900248528925
South Central Grain & Energy,-94.947128,44.726822,OilCrop_MissppRN,248600.0,8423.05,0.03388192427057266
UAS Service Corporation,-96.490659,46.892358,OilCrop_NelsonR,133851.2,7855.41,0.05868760191598108
Van AHN & CO Inc,-95.453537,45.933732,OilCrop_MissppRN,248600.0,2578.84,0.010373453636374486
Waconia Manufacturing,-93.802607,44.820798,OilCrop_MissppRN,248600.0,20228.4,0.0813692615470231
Western Consolidated Cooperative,-95.681449,45.282694,OilCrop_MissppRN,248600.0,3669.39,0.014760221198287016
Boyd Grain Inc,-87.07205,38.702413,OilCrop_OhioR,1042990.0,63808.97,0.06117888927232703
Riley Equipment Inc,-87.41803,38.689077,OilCrop_OhioR,1042990.0,98425.2,0.0943683048615154
Agrex Inc,-98.047196,40.176396,OilCrop_MissouriR,245509.09,8070.47,0.03287240258395193
Batterton Waterproofing Inc,-97.597126,40.872749,OilCrop_MissouriR,245509.09,3899.83,0.01588467099002583
Central Valley AG,-96.654014,41.577912,OilCrop_MissouriR,245509.09,16046.78,0.06536124388384018
