Name,LON,LAT,BasinName,Production,Ending,EndingRate
Agency Rail LLC,-88.847333,40.490883,OilCrop_MissppRN,157941.75,5023.25,0.03180444546576823
Airial Construction,-88.085602,41.851961,OilCrop_MissppRN,157941.75,8376.52,0.053035473177913975
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,OilCrop_MissppRN,157941.75,3048.12,0.019299026653239747
Artix Construction Inc,-87.816836,41.840134,OilCrop_MissppRN,157941.75,2646.81,0.016758147144075475
Assumption Cooperative Grain,-89.277259,39.545839,OilCrop_MissppRN,157941.75,5757.81,0.03645528647471018
Atkinson Grain & Fertilizer,-90.131437,41.353145,OilCrop_MissppRN,157941.75,292.16,0.0018498217569114072
B A B Grain,-89.658883,39.758174,OilCrop_MissppRN,157941.75,14951.49,0.09466455927751814
Bridgeport Grain INC,-87.726786,38.719963,OilCrop_OhioR,662639.0,36821.98,0.05556869176060951
Copper Construction Co,-88.085602,41.851961,OilCrop_MissppRN,157941.75,9294.87,0.05884999580889379
Crea Construction,-87.816836,41.840134,OilCrop_MissppRN,157941.75,14310.54,0.09060642584811629
Danvers Farmers Elevator,-88.847333,40.490883,OilCrop_MissppRN,157941.75,14800.15,0.09370638645335819
Donovan Farmers Cooperative,-87.824344,40.747251,OilCrop_MissppRN,157941.75,13535.9,0.08570182782821581
Eminence Grain & Coal CO,-89.367545,40.124564,OilCrop_MissppRN,157941.75,15031.18,0.09516916184174919
Farmers Grain Company Of Latham,-89.367545,40.124564,OilCrop_MissppRN,157941.75,3412.03,0.0216030964419349
Farmers Grain Service Inc,-88.885951,41.344002,OilCrop_MissppRN,157941.75,7475.82,0.04733278539073147
Geneva Construction Co,-88.428645,41.938852,OilCrop_MissppRN,157941.75,2817.88,0.017841245556572117
Goodwine Cooperative Grain Company,-87.824344,40.747251,OilCrop_MissppRN,157941.75,762.11,0.0048252791971096776
Goodwine Cooperative Grain Company,-87.824344,40.747251,OilCrop_MissppRN,157941.75,7554.78,0.04783270029998109
Grainland Cooperative,-89.211128,40.788226,OilCrop_MissppRN,157941.75,13633.39,0.0863191232444617
Grainland Elevator,-89.211128,40.788226,OilCrop_MissppRN,157941.75,2810.19,0.01779258282470959
Grand Prairie Cooperative Inc,-88.199166,40.140104,OilCrop_OhioR,662639.0,4593.66,0.006932371760103517
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,OilCrop_MissppRN,157941.75,6802.72,0.04307108175857436
Hartsburg Grain Company,-89.367545,40.124564,OilCrop_MissppRN,157941.75,12065.17,0.0763900226517649
Heartland Construction,-87.816836,41.840134,OilCrop_MissppRN,157941.75,13391.28,0.08478621816749117
Hometeam Group Inc,-87.816836,41.840134,OilCrop_MissppRN,157941.75,697.19,0.004414240686693905
Hudson Grain Co,-88.847333,40.490883,OilCrop_MissppRN,157941.75,12439.14,0.07875779952902696
I D Construction,-88.452342,42.324432,OilCrop_MissppRN,157941.75,1490.94,0.009439801699548955
Jayco Construction,-89.658883,39.758174,OilCrop_MissppRN,157941.75,7945.93,0.05030924827362149
Jersey County Grain Company,-90.667537,39.16925,OilCrop_MissppRN,157941.75,7714.19,0.04884196779621704
K T Richards Construction,-87.978648,41.44505,OilCrop_MissppRN,157941.75,4225.37,0.026752738307791978
Kitchen Seed Co Inc,-90.886303,39.622511,OilCrop_MissppRN,157941.75,2803.48,0.017750117791453114
Koehl Brothers Inc,-88.557724,40.891579,OilCrop_MissppRN,157941.75,7694.5,0.04871730776746902
Legend Exterior & Construction,-88.085602,41.851961,OilCrop_MissppRN,157941.75,7608.72,0.04817422834498558
Lincolnland Agri-Energy,-87.759567,39.002704,OilCrop_OhioR,662639.0,18939.21,0.028581484817197057
Lumber 1 Construction,-87.816836,41.840134,OilCrop_MissppRN,157941.75,1904.86,0.012060537778503166
