Name,State,SN,Adress,Phone,Website,Located,Function,County,LON,LAT,Watershed,BasinName
Agency Rail LLC,illinois,IL,"Bloomington, Illinois 61701",1-309-828-8600,www.agrail.com,Located in McLean County,Grain Elevators,McLean,-88.847333,40.490883,Upper Mississippi,MissppRN
Airial Construction,illinois,IL,"Glen Ellyn, Illinois 60137",1-630-682-5066,www.airialconstruction.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators",DuPage,-88.085602,41.851961,Upper Mississippi,MissppRN
"Alliance Builders And Construction, Inc.",illinois,IL,"Chicago, Illinois 60639",1-773-235-8765,www.alliance-building.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators, Home Improvement and Maintenance",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Artix Construction Inc,illinois,IL,"Schiller Park, Illinois 60176",1-847-366-7158,www.artixconstruction.com,Located in Cook County,"Bathroom Planning and Remodeling, Building Contractors, Construction Companies, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Assumption Cooperative Grain,illinois,IL,"Assumption, Illinois 62510",1-217-226-3213,acoop.com,Located in Christian County,Grain Elevators,Christian,-89.277259,39.545839,Upper Mississippi,MissppRN
Atkinson Grain & Fertilizer,illinois,IL,"Atkinson, Illinois 61235",1-309-936-7177,atkinsongrain.com,Located in Henry County,Grain Elevators,Henry,-90.131437,41.353145,Upper Mississippi,MissppRN
B A B Grain,illinois,IL,"Auburn, Illinois 62615",1-217-438-3316,babgrain.com,Located in Sangamon County,"Grain Bins, Grain Elevators",Sangamon,-89.658883,39.758174,Upper Mississippi,MissppRN
Bridgeport Grain INC,illinois,IL,"Bridgeport, Illinois 62417",1-618-945-5711,bpgrain.com,Located in Lawrence County,Grain Elevators,Lawrence,-87.726786,38.719963,Ohio,OhioR
Copper Construction Co,illinois,IL,"Bensenville, Illinois 60106",1-630-350-1535,www.copperconstructioncompany.com,Located in DuPage County,"Builders and Contractors, Building Contractors, Construction Companies, Construction Consulting and Management Services, Grain Elevators",DuPage,-88.085602,41.851961,Upper Mississippi,MissppRN
Crea Construction,illinois,IL,"Chicago, Illinois 60601",1-312-371-3827,www.creagc.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Danvers Farmers Elevator,illinois,IL,"Danvers, Illinois 61732",1-309-963-4306,www.dfefarmpartners.com,Located in McLean County,Grain Elevators,McLean,-88.847333,40.490883,Upper Mississippi,MissppRN
Donovan Farmers Cooperative,illinois,IL,"Donovan, Illinois 60931",1-815-486-7325,donovanfarmerscoop.com,Located in Iroquois County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Iroquois,-87.824344,40.747251,Upper Mississippi,MissppRN
Eminence Grain & Coal CO,illinois,IL,"Atlanta, Illinois 61723",1-217-648-2541,emgrain.com,Located in Logan County,Grain Elevators,Logan,-89.367545,40.124564,Upper Mississippi,MissppRN
Farmers Grain Company Of Latham,illinois,IL,"Latham, Illinois 62543",1-217-674-3546,www.farmersgrainlatham.com,Located in Logan County,Grain Elevators,Logan,-89.367545,40.124564,Upper Mississippi,MissppRN
Farmers Grain Service Inc,illinois,IL,"Grand Ridge, Illinois 61325",1-815-249-5515,farmersgrainservice.com,Located in La Salle County,Grain Elevators,La Salle,-88.885951,41.344002,Upper Mississippi,MissppRN
Geneva Construction Co,illinois,IL,"Aurora, Illinois 60505",1-630-892-4357,genevaconstruction.net,Located in Kane County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators",Kane,-88.428645,41.938852,Upper Mississippi,MissppRN
Goodwine Cooperative Grain Company,illinois,IL,"Milford, Illinois 60953",1-815-889-4422,www.goodwinecoop.com,Located in Iroquois County,Grain Elevators,Iroquois,-87.824344,40.747251,Upper Mississippi,MissppRN
Goodwine Cooperative Grain Company,illinois,IL,"Goodwine, Illinois 60939",1-815-457-2880,goodwinecoop.com,Located in Iroquois County,Grain Elevators,Iroquois,-87.824344,40.747251,Upper Mississippi,MissppRN
Grainland Cooperative,illinois,IL,"Eureka, Illinois 61530",1-309-467-2355,www.grainlandcooperative.com,Located in Woodford County,Grain Elevators,Woodford,-89.211128,40.788226,Upper Mississippi,MissppRN
Grainland Elevator,illinois,IL,"Secor, Illinois 61771",1-309-744-2218,grainlandcooperative.com,Located in Woodford County,Grain Elevators,Woodford,-89.211128,40.788226,Upper Mississippi,MissppRN
Grand Prairie Cooperative Inc,illinois,IL,"Ivesdale, Illinois 61851",1-217-564-2317,unitedprairiellc.com,Located in Champaign County,Grain Elevators,Champaign,-88.199166,40.140104,Ohio,OhioR
Graymont Cooperative Association Grain ELEV,illinois,IL,"Graymont, Illinois 61743",1-815-743-5321,graymontcoop.com,Located in Livingston County,"Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores",Livingston,-88.557724,40.891579,Upper Mississippi,MissppRN
Hartsburg Grain Company,illinois,IL,"Hartsburg, Illinois 62643",1-217-642-5211,hartgrain.com,Located in Logan County,Grain Elevators,Logan,-89.367545,40.124564,Upper Mississippi,MissppRN
Heartland Construction,illinois,IL,"Chicago, Illinois 60642",1-312-492-6500,thcgi.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators, Home Builders and Developers",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Hometeam Group Inc,illinois,IL,"La Grange, Illinois 60525",1-708-352-6400,hometeamgroupco.com,Located in Cook County,"Building Contractors, Building Remodeling and Repair Contractors, Construction Companies, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Hudson Grain Co,illinois,IL,"Hudson, Illinois 61748",1-309-726-1671,www.hudsongrain.com,Located in McLean County,Grain Elevators,McLean,-88.847333,40.490883,Upper Mississippi,MissppRN
I D Construction,illinois,IL,"Crystal Lake, Illinois 60014",1-815-444-8058,www.bestchicagosiding.com,Located in McHenry County,"Building Contractors, Construction Companies, Grain Elevators",McHenry,-88.452342,42.324432,Upper Mississippi,MissppRN
Jayco Construction,illinois,IL,"Springfield, Illinois 62707",1-217-522-8621,jaycoconstruction.net/,Located in Sangamon County,"Building Contractors, Construction Companies, Excavation Contractors, Grain Elevators, Wrecking and Demolition Contractors",Sangamon,-89.658883,39.758174,Upper Mississippi,MissppRN
Jersey County Grain Company,illinois,IL,"Hardin, Illinois 62047",1-618-576-2519,www.jerseycountygrain.com,Located in Calhoun County,Grain Elevators,Calhoun,-90.667537,39.16925,Upper Mississippi,MissppRN
K T Richards Construction,illinois,IL,"Homer Glen, Illinois 60491",1-708-966-2152,ktrichards.com,Located in Will County,"Building Contractors, Carpenters, Construction Companies, Grain Elevators",Will,-87.978648,41.44505,Upper Mississippi,MissppRN
Kitchen Seed Co Inc,illinois,IL,"Pittsfield, Illinois 62363",1-217-285-9659,www.kitchenseed.com,Located in Pike County,Grain Elevators,Pike,-90.886303,39.622511,Upper Mississippi,MissppRN
Koehl Brothers Inc,illinois,IL,"Fairbury, Illinois 61739",1-815-692-2326,koehlbros.com,Located in Livingston County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Parts Wholesale and Manufacturers, Farm Equipment and Supplies Dealers, Grain and Feed Handling Equipment, Grain Elevators",Livingston,-88.557724,40.891579,Upper Mississippi,MissppRN
Legend Exterior & Construction,illinois,IL,"Roselle, Illinois 60172",1-630-351-0656,www.legendexteriors.com,Located in DuPage County,"Building Contractors, Construction Companies, Grain Elevators, Roofing Contractors",DuPage,-88.085602,41.851961,Upper Mississippi,MissppRN
Lincolnland Agri-Energy,illinois,IL,"Palestine, Illinois 62451",1-618-586-2321,www.lincolnlandagrienergy.com,Located in Crawford County,Grain Elevators,Crawford,-87.759567,39.002704,Ohio,OhioR
Lumber 1 Construction,illinois,IL,"Chicago, Illinois 60618",1-773-290-1111,www.lumber1construction.com,Located in Cook County,"Building Contractors, Construction Companies, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Midwest Ingredients Inc,illinois,IL,"Princeville, Illinois 61559",1-309-385-1035,midwestingredients.com,Located in Peoria County,Grain Elevators,Peoria,-89.759969,40.788053,Upper Mississippi,MissppRN
Monica Elevator CO,illinois,IL,"Princeville, Illinois 61559",1-309-385-4938,www.monicaelevator.com,Located in Peoria County,Grain Elevators,Peoria,-89.759969,40.788053,Upper Mississippi,MissppRN
Northern Grain Marketing,illinois,IL,"Ohio, Illinois 61349",1-815-376-2411,www.northerngrainmarketing.com,Located in Bureau County,Grain Elevators,Bureau,-89.528673,41.404133,Upper Mississippi,MissppRN
P&K Quality Construction,illinois,IL,"Pana, Illinois 62557",1-217-820-2224,www.pkqualityconstruction.com/,Located in Christian County,"Building Contractors, Construction Companies, Deck Construction and Maintenance Commercial and Industrial, Garage Builders, Grain Elevators, Patio, Porch, Deck and Gazebo Builders",Christian,-89.277259,39.545839,Upper Mississippi,MissppRN
Path Construction Co Inc,illinois,IL,"Arlington Heights, Illinois 60005",1-847-342-1188,pathcc.com,Located in Cook County,"Builders and Contractors, Building and Home Construction, Building Contractors, Construction Companies, Government Contractors, Grain Elevators, Home Builders and Developers",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Prentice Farmers Elevator,illinois,IL,"Ashland, Illinois 62612",1-217-476-3516,www.prenticeelevator.com,Located in Cass County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Cass,-90.247407,39.973553,Upper Mississippi,MissppRN
"R.A. James Construction, Inc.",illinois,IL,"Berwyn, Illinois 60402",1-708-788-3033,rajames.com,Located in Cook County,"Building and Home Construction, Building Contractors, Construction Companies, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Reyes Group Limited,illinois,IL,"Markham, Illinois 60428",1-708-596-7100,www.reyesgroup.com,Located in Cook County,"Building Contractors, Construction Companies, Government Contractors, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Roanoke Farmers Association,illinois,IL,"Roanoke, Illinois 61561",1-309-923-3841,www.roanokefarmers.com,Located in Woodford County,Grain Elevators,Woodford,-89.211128,40.788226,Upper Mississippi,MissppRN
Robert P Johnson Grain Company,illinois,IL,"Waverly, Illinois 62692",1-217-435-2361,johnsongrain.com,Located in Morgan County,Grain Elevators,Morgan,-90.201473,39.715563,Upper Mississippi,MissppRN
Rock River Lumber & Grain Company,illinois,IL,"Prophetstown, Illinois 61277",1-815-537-5615,rockriverag.com,Located in Whiteside County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Home Improvement Stores, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Whiteside,-89.9141,41.756286,Upper Mississippi,MissppRN
Shore Sales CO Inc,illinois,IL,"Rantoul, Illinois 61866",1-217-892-2544,www.moisturetesters.com,Located in Champaign County,"Building and Home Construction, Grain Elevator Equipment and Builders, Grain Elevators",Champaign,-88.199166,40.140104,Ohio,OhioR
Siemer Milling Company,illinois,IL,"Teutopolis, Illinois 62467",1-217-857-3131,siemermilling.com,Located in Effingham County,Grain Elevators,Effingham,-88.589866,39.059805,Ohio,OhioR
Stanford Grain Company,illinois,IL,"Stanford, Illinois 61774",1-309-379-2141,www.stanfordgrain.com,Located in McLean County,Grain Elevators,McLean,-88.847333,40.490883,Upper Mississippi,MissppRN
Top Ag Cooperative,illinois,IL,"Pierron, Illinois 62273",1-618-654-9804,www.topag.net,Located in Bond County,Grain Elevators,Bond,-89.435552,38.88684,Upper Mississippi,MissppRN
Top Flight Grain,illinois,IL,"Monticello, Illinois 61856",1-217-762-2163,topflightgrain.com,Located in Piatt County,Grain Elevators,Piatt,-88.591112,40.010348,Upper Mississippi,MissppRN
Tremont Cooperative Grain Company,illinois,IL,"Tremont, Illinois 61568",1-309-925-4981,tremont.coop,Located in Tazewell County,Grain Elevators,Tazewell,-89.513424,40.507537,Upper Mississippi,MissppRN
Tri Central Cooperative - Main Ofc,illinois,IL,"Ashkum, Illinois 60911",1-815-698-2327,www.tricentralcoop.com,Located in Iroquois County,Grain Elevators,Iroquois,-87.824344,40.747251,Upper Mississippi,MissppRN
Twomey Company,illinois,IL,"Smithshire, Illinois 61478",1-309-325-7100,www.twomeyco.com,Located in Warren County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Warren,-90.615017,40.848824,Upper Mississippi,MissppRN
Union Iron Works Inc,illinois,IL,"Decatur, Illinois 62521",1-217-429-5148,unionironworks.com,Located in Macon County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Industrial Equipment and Supplies Dealers, Industrial Equipment and Supplies Wholesale and Manufacturers",Macon,-88.961566,39.859997,Upper Mississippi,MissppRN
US NATIONAL CONSTRUCTION,illinois,IL,"Chicago, Illinois 60623",1-312-724-6002,www.usnationalconstruction.com,Located in Cook County,"Building Contractors, Construction Companies, Design and Build Contractors, Grain Elevators",Cook,-87.816836,41.840134,Upper Mississippi,MissppRN
Wesemann Feeds,illinois,IL,"Genoa, Illinois 60135",1-815-784-5054,www.wesemannfeeds.com,Located in DeKalb County,Grain Elevators,DeKalb,-88.77032,41.893537,Upper Mississippi,MissppRN
Bazooka-Farmstar Inc,iowa,IA,"Washington, Iowa 52353",1-319-653-5080,www.bazookafarmstar.com,Located in Washington County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Washington,-91.717867,41.335614,Upper Mississippi,MissppRN
Buckingham Co-Operative Company,iowa,IA,"Buckingham, Iowa 50612",1-319-478-2331,buckingham.coop,Located in Tama County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators",Tama,-92.532561,42.079818,Upper Mississippi,MissppRN
Clinton Feed & Grain,iowa,IA,"Clinton, Iowa 52732",1-563-242-3350,www.clintonfeed.com,Located in Clinton County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail",Clinton,-90.531972,41.898036,Upper Mississippi,MissppRN
Dandea Enterprises Inc,iowa,IA,"Coggon, Iowa 52218",1-319-435-2265,www.dandea.com,Located in Linn County,"Grain Elevators, Metal Fabricators, Metal Products Wholesale and Manufacturers, Metal Products, Metals, Moving and Storage Equipment and Supplies Retail, Moving and Storage, Sheet Metal Equipment and Supplies Wholesale and Manufacturers",Linn,-91.599033,42.078966,Upper Mississippi,MissppRN
Dunkerton Cooperative,iowa,IA,"Dunkerton, Iowa 50626",1-319-822-4201,www.dunkertoncoop.com,Located in Black Hawk County,"Fuels Retail, Grain Elevators, Propane and Natural Gas",Black Hawk,-92.308832,42.470098,Upper Mississippi,MissppRN
East Central Iowa Cooperative,iowa,IA,"Cedar Falls, Iowa 50613",1-319-266-0775,www.ecicoop.com,Located in Black Hawk County,Grain Elevators,Black Hawk,-92.308832,42.470098,Upper Mississippi,MissppRN
East Central Iowa Cooperative,iowa,IA,"Jesup, Iowa 50648",1-319-827-6226,ecicoop.com,Located in Buchanan County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Home Improvement and Maintenance, Lawn and Garden Equipment and Supplies Retail, Lawn Care Supplies Retail, Pest Control Equipment and Supplies Retail, Pest Control Services, Pesticides",Buchanan,-91.837854,42.470814,Upper Mississippi,MissppRN
Farmers Cooperative,iowa,IA,"Radcliffe, Iowa 50230",1-515-899-2101,www.radcliffecoop.com,Located in Hardin County,"Agricultural Equipment and Supplies Retail, Farm Equipment and Supplies Dealers, Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Hardin,-93.240405,42.383881,Upper Mississippi,MissppRN
Farmers Elevator & Exchange,iowa,IA,"Wapello, Iowa 52653",1-319-523-5351,farmerseande.com,Located in Louisa County,Grain Elevators,Louisa,-91.259615,41.218528,Upper Mississippi,MissppRN
Gold Eagle Cooperative,iowa,IA,"Wesley, Iowa 50483",1-515-679-4272,www.goldeaglecoop.com,Located in Kossuth County,"Grain Elevators, Lawn and Garden Equipment and Supplies Retail",Kossuth,-94.206724,43.204203,Upper Mississippi,MissppRN
Gold Eagle Cooperative,iowa,IA,"Eagle Grove, Iowa 50533",1-515-448-4775,www.goldeaglecoop.com,Located in Wright County,Grain Elevators,Wright,-93.735145,42.733092,Upper Mississippi,MissppRN
