scenario,time,subregion,management,level,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
Reference,date=2022-10-4T03:04:51-04:00,ArkWhtRedR,IRR,hi,-0.171337,-0.105872,-0.0731403,-0.103021,-0.116968,-0.123941,-0.114194,-0.122356,-0.121362,-0.0570481,-0.00482487,0.0259434,0.0134776,-0.0303162,-0.0338506,-0.0327715,8.19E-04,0.0196206,0.0499475,0.0571377,0.0492979,0.0421329,0.0402552,0.0426292,0.0457163,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,ArkWhtRedR,IRR,lo,-0.171337,-0.105872,-0.0731403,-0.103021,-0.116968,-0.123941,-0.114194,-0.122356,-0.0726374,-0.0146349,0.0290304,0.0509362,0.0396306,0.0216924,0.0197064,0.0236169,0.0319023,0.0336982,0.037379,0.0345798,0.0281948,0.0222548,0.0154777,0.0107527,0.00666933,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,ArkWhtRedR,RFD,hi,-0.58862,-0.363305,-0.250647,-0.351053,-0.399056,-0.423058,-3.90E-01,-4.18E-01,-5.88E-01,-4.55E-01,-3.06E-01,-2.75E-01,-3.59E-01,-5.74E-01,-6.07E-01,-3.89E-01,-1.23E-01,0.0221579,0.196912,0.247994,0.219098,0.190643,0.187418,0.20303,0.221411,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,ArkWhtRedR,RFD,lo,-0.58862,-0.363305,-0.250647,-0.351053,-0.399056,-0.423058,-3.90E-01,-4.18E-01,-2.89E-01,-1.03E-01,4.92E-02,1.22E-01,9.24E-02,5.32E-02,6.38E-02,9.86E-02,1.24E-01,1.25E-01,1.26E-01,1.11E-01,8.96E-02,6.90E-02,4.17E-02,0.0203655,0.00124832,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,California,IRR,hi,-0.0623141,-0.038496,-0.026587,-0.0374049,-0.0424793,-0.0450165,-0.0414853,-0.04444,-0.105661,-0.103562,-0.097488,-0.0322379,-0.012471,-0.0251247,-0.0220723,-0.0215596,-0.00367964,0.00589578,0.0221519,0.0253708,0.0209881,0.0174919,0.017825,0.0213523,0.0248822,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,California,IRR,lo,-0.0623141,-0.038496,-0.026587,-0.0374049,-0.0424793,-0.0450165,-0.0414853,-0.04444,-0.0521708,-0.0354322,-0.0203037,0.011948,0.0196741,0.0174843,0.018057,0.0149544,0.0149617,0.0134671,0.0131253,0.0106836,0.00737997,0.00440307,0.00149408,-2.75E-04,-0.00155609,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,California,RFD,hi,-0.00447253,-0.00275816,-0.00190098,-0.00265129,-0.00301654,-0.00319916,-0.00295312,-0.00315799,-0.00482316,-0.00329861,-0.00208635,7.76E-04,0.00148069,6.37E-04,6.49E-04,-1.67E-04,2.67E-04,5.14E-04,0.00118079,0.00127604,0.00102688,8.29E-04,7.93E-04,9.00E-04,0.0010386,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,California,RFD,lo,-0.00447253,-0.00275816,-0.00190098,-0.00265129,-0.00301654,-0.00319916,-2.95E-03,-0.00315799,-0.00314638,-0.00184929,-8.43E-04,0.00118211,0.00161651,0.00130345,0.00126929,9.01E-04,9.27E-04,8.61E-04,9.28E-04,8.00E-04,5.73E-04,3.73E-04,1.99E-04,1.07E-04,4.87E-05,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatBasin,IRR,hi,-0.00354286,-0.00321307,-0.00304818,-0.00396081,-0.00441133,-0.00463659,-0.00343257,-0.00310639,-0.00784799,-0.00828706,-0.00836849,-0.00421013,-0.00265993,-0.00350691,-0.00319682,-0.00299518,-0.00148123,-5.56E-04,9.06E-04,0.0013783,0.0012643,0.00120856,0.00139164,0.00176135,0.00214762,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatBasin,IRR,lo,-0.00354286,-0.00321307,-0.00304818,-0.00396081,-0.00441133,-0.00463659,-0.00343257,-0.00310639,-0.00423701,-0.00347664,-0.00268164,-6.33E-04,9.02E-05,5.44E-05,2.51E-04,1.63E-04,3.33E-04,3.84E-04,5.28E-04,4.95E-04,3.74E-04,2.68E-04,1.83E-04,1.65E-04,1.75E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatBasin,RFD,hi,-0.0026036,-0.00236082,-0.00223944,-0.00290823,-0.00323989,-0.00340572,-2.52E-03,-0.00228247,-0.00564923,-0.00590376,-0.00591422,-0.00294389,-0.00183334,-0.0024439,-0.00222026,-0.00211427,-0.00104665,-3.90E-04,6.56E-04,9.94E-04,9.11E-04,8.70E-04,0.00100094,0.00126609,0.00154351,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatBasin,RFD,lo,-0.0026036,-0.00236082,-0.00223944,-0.00290823,-0.00323989,-0.00340572,-2.52E-03,-0.00228247,-0.00309108,-0.00253401,-0.00195868,-4.64E-04,6.45E-05,3.12E-05,1.71E-04,1.06E-04,2.36E-04,2.76E-04,3.89E-04,3.67E-04,2.79E-04,2.01E-04,1.40E-04,1.29E-04,1.38E-04,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatLakes,IRR,hi,-0.0344035,-0.0212755,-0.0147114,-0.0208023,-0.0235992,-0.0249976,-0.0210434,-0.00854198,-0.011637,-0.00236029,0.00440337,0.00808052,0.00580804,-8.61E-04,-0.00126059,-0.00263128,0.00106504,0.00314438,0.006882,0.00731126,0.00558345,0.00399897,0.00362348,0.00400611,0.00465461,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatLakes,IRR,lo,-0.0344035,-0.0212755,-0.0147114,-0.0208023,-0.0235992,-0.0249976,-0.0210434,-0.00854198,-0.00252139,0.00550856,0.0106119,0.0129277,0.0108009,0.00854944,0.00822405,0.00724546,0.00666819,0.00589564,0.00515642,0.00392162,0.00248158,0.00110108,-2.49E-04,-0.00124991,-0.00204171,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatLakes,RFD,hi,-1.52746,-0.943324,-0.651256,-0.914809,-1.03926,-1.10148,-0.929241,-0.381464,-0.946823,-0.737724,-0.509536,-0.517286,-0.710742,-1.12005,-1.16023,-0.718635,-0.224355,0.0428499,0.352562,0.421218,0.334272,0.247094,0.234075,0.266998,0.315719,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,GreatLakes,RFD,lo,-1.52746,-0.943324,-0.651256,-0.914809,-1.03926,-1.10148,-0.929241,-0.381464,-0.213128,0.115954,0.349447,0.45232,0.382946,0.342604,0.372617,0.373013,0.334686,0.287322,0.224055,0.156134,0.0920406,0.0294673,-0.0409203,-0.0984712,-0.146729,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissouriR,IRR,hi,-0.598961,-0.370433,-0.256168,-0.362367,-0.411055,-0.435398,-0.40083,-0.429842,-0.444797,-0.237964,-0.0915824,0.00697652,-0.0102234,-0.138591,-0.136279,-0.149411,-0.0484133,0.013391,0.113659,0.13791,0.111232,0.0856947,0.0888812,0.107847,0.131606,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissouriR,IRR,lo,-0.598961,-0.370433,-0.256168,-0.362367,-0.411055,-0.435398,-0.40083,-0.429842,-0.267463,-0.0798861,0.03901,0.109699,0.0972565,0.0633392,0.0705349,0.0677741,0.0779734,0.0782138,0.080479,0.0672529,0.045167,0.0225508,0.00343514,-0.00818539,-0.0154222,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissouriR,RFD,hi,-4.58639,-2.83227,-1.96E+00,-2.75E+00,-3.12E+00,-3.31E+00,-3.05E+00,-3.26E+00,-4.68E+00,-3.74E+00,-2.90E+00,-2.66E+00,-3.06E+00,-4.45E+00,-4.53E+00,-3.14E+00,-1.34E+00,-3.09E-01,9.42E-01,1.31E+00,1.10E+00,8.67E-01,9.27E-01,1.15E+00,1.41314,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissouriR,RFD,lo,-4.58639,-2.83227,-1.95521,-2.75E+00,-3.12E+00,-3.31E+00,-3.05E+00,-3.26E+00,-2.34E+00,-1.00E+00,-8.55E-02,4.46E-01,4.20E-01,3.30E-01,5.13E-01,6.47E-01,6.98E-01,6.67E-01,5.93E-01,4.54E-01,2.86E-01,1.09E-01,-6.86E-02,-1.97E-01,-0.29077,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRN,IRR,hi,-0.0739927,-0.0458722,-0.031812,-3.21E-02,-3.20E-02,-3.19E-02,3.83E-03,1.00E-02,-1.33E-02,-3.48E-03,3.66E-03,7.66E-03,3.50E-03,-6.14E-03,-4.49E-03,-7.25E-03,-1.32E-03,2.91E-03,9.37E-03,1.06E-02,8.30E-03,6.32E-03,6.46E-03,7.77E-03,0.00953125,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRN,IRR,lo,-0.0739927,-0.0458722,-0.031812,-3.21E-02,-3.20E-02,-3.19E-02,3.83E-03,1.00E-02,3.60E-03,1.11E-02,1.55E-02,1.72E-02,1.35E-02,1.23E-02,1.38E-02,1.19E-02,9.81E-03,8.61E-03,6.51E-03,4.50E-03,2.64E-03,8.80E-04,-1.06E-03,-2.55E-03,-0.00366472,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRN,RFD,hi,-6.72465,-4.15996,-2.87762,-2.88627,-2.87201,-2.86488,0.300536,0.889116,-2.81138,-2.71025,-2.38178,-2.74809,-3.52813,-4.8231,-4.73664,-3.02725,-1.26566,-0.205731,0.912152,1.22839,1.01372,0.8027,0.85626,1.05566,1.30996,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRN,RFD,lo,-6.72465,-4.15996,-2.87762,-2.88627,-2.87201,-2.86488,0.300536,0.889116,-0.0439271,0.519818,0.934093,1.08154,0.837678,0.96053,1.27349,1.27693,1.03425,0.873583,0.563115,0.328961,0.161834,-6.13E-04,-0.216582,-0.40294,-0.55466,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,IRR,hi,-0.655159,-0.404804,-0.279627,-3.94E-01,-4.47E-01,-4.74E-01,-4.36E-01,-3.39E-01,-2.75E-01,-5.68E-02,9.04E-02,1.66E-01,1.35E-01,1.37E-02,-9.40E-03,-3.58E-02,3.13E-02,6.71E-02,1.36E-01,1.46E-01,1.16E-01,8.86E-02,8.16E-02,8.82E-02,0.0988389,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,IRR,lo,-0.655159,-0.404804,-0.279627,-3.94E-01,-4.47E-01,-4.74E-01,-4.36E-01,-3.39E-01,-9.93E-02,9.27E-02,2.06E-01,2.54E-01,2.25E-01,1.88E-01,1.68E-01,1.51E-01,1.37E-01,1.18E-01,1.01E-01,7.88E-02,5.38E-02,2.98E-02,4.22E-03,-1.55E-02,-0.0320987,MtC/yr
Reference,date=2022-10-4T03:04:51-04:00,MissppRS,RFD,hi,-1.56806,-0.967843,-0.667735,-9.35E-01,-1.06E+00,-1.13E+00,-1.04E+00,-8.08E-01,-1.12E+00,-8.21E-01,-5.46E-01,-5.48E-01,-7.14E-01,-1.12E+00,-1.20E+00,-7.26E-01,-2.14E-01,5.56E-02,3.71E-01,4.49E-01,3.70E-01,2.89E-01,2.76E-01,3.08E-01,0.352413,MtC/yr
