scenario,subregion,management,level,2045
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.00623708
SSP4,Great_Lakes_Basin,IRR,hi,0.00184
SSP4,Missouri_River_Basin,IRR,hi,-0.0690965
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.00158
SSP4,Saskatchewan_Nelson,IRR,hi,0.00168
SSP4,Ohio_River_Basin,IRR,hi,0.000688
SSP4,Arkansas_White_Red_Basin,IRR,hi,-0.00623708
SSP4,Great_Lakes_Basin,IRR,hi,0.00184
SSP4,Missouri_River_Basin,IRR,hi,-0.0690965
SSP4,Upper_Mississippi_Basin,IRR,hi,-0.00158
SSP4,Saskatchewan_Nelson,IRR,hi,0.00168
SSP4,Ohio_River_Basin,IRR,hi,0.000688
