scenario,subregion,management,level,2020,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,IRR,lo,-0.0822158,0.154842,-5.58
SSP4,Great_Lakes_Basin,IRR,lo,-0.00279755,0.154842,-5.58
SSP4,Missouri_River_Basin,IRR,lo,-0.284055,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,IRR,lo,0.00402,0.154842,-5.58
SSP4,Saskatchewan_Nelson,IRR,lo,-0.00139191,0.154842,-5.58
SSP4,Ohio_River_Basin,IRR,lo,-0.0028,0.154842,-5.58
SSP4,Arkansas_White_Red_Basin,IRR,lo,-0.0822158,0.154842,-5.58
SSP4,Great_Lakes_Basin,IRR,lo,-0.00279755,0.154842,-5.58
SSP4,Missouri_River_Basin,IRR,lo,-0.284055,0.154842,-5.58
SSP4,Upper_Mississippi_Basin,IRR,lo,0.00402,0.154842,-5.58
SSP4,Saskatchewan_Nelson,IRR,lo,-0.00139191,0.154842,-5.58
SSP4,Ohio_River_Basin,IRR,lo,-0.0028,0.154842,-5.58
