scenario,subregion,management,level,2030,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.282,1.79371,-4.62
SSP4,Great_Lakes_Basin,RFD,hi,-0.474615,1.79371,-4.62
SSP4,Missouri_River_Basin,RFD,hi,-2.78,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.25707,1.79371,-4.62
SSP4,Saskatchewan_Nelson,RFD,hi,-0.166,1.79371,-4.62
SSP4,Ohio_River_Basin,RFD,hi,-1.18577,1.79371,-4.62
SSP4,Arkansas_White_Red_Basin,RFD,hi,-0.282,1.79371,-4.62
SSP4,Great_Lakes_Basin,RFD,hi,-0.474615,1.79371,-4.62
SSP4,Missouri_River_Basin,RFD,hi,-2.78,1.79371,-4.62
SSP4,Upper_Mississippi_Basin,RFD,hi,-2.25707,1.79371,-4.62
SSP4,Saskatchewan_Nelson,RFD,hi,-0.166,1.79371,-4.62
SSP4,Ohio_River_Basin,RFD,hi,-1.18577,1.79371,-4.62
