scenario,subregion,management,level,2025,ssps_max,ssps_min
SSP4,Arkansas_White_Red_Basin,RFD,lo,-0.111,1.02808,-5.05
SSP4,Great_Lakes_Basin,RFD,lo,0.126283,1.02808,-5.05
SSP4,Missouri_River_Basin,RFD,lo,-1.01,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,RFD,lo,0.605968,1.02808,-5.05
SSP4,Saskatchewan_Nelson,RFD,lo,0.158,1.02808,-5.05
SSP4,Ohio_River_Basin,RFD,lo,0.150675,1.02808,-5.05
SSP4,Arkansas_White_Red_Basin,RFD,lo,-0.111,1.02808,-5.05
SSP4,Great_Lakes_Basin,RFD,lo,0.126283,1.02808,-5.05
SSP4,Missouri_River_Basin,RFD,lo,-1.01,1.02808,-5.05
SSP4,Upper_Mississippi_Basin,RFD,lo,0.605968,1.02808,-5.05
SSP4,Saskatchewan_Nelson,RFD,lo,0.158,1.02808,-5.05
SSP4,Ohio_River_Basin,RFD,lo,0.150675,1.02808,-5.05
