Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea(km2),Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,42652263.3,0.11,771222.6213592233,tons/km2
Airial Construction,-88.085602,41.851961,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,34897306.34,0.09,771222.6213592233,tons/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,73672091.16,0.19,771222.6213592233,tons/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,73672091.16,0.19,771222.6213592233,tons/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,34897306.34,0.09,771222.6213592233,tons/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,31019827.86,0.08,771222.6213592233,tons/km2
B A B Grain,-89.658883,39.758174,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,31019827.86,0.08,771222.6213592233,tons/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,512.8923639236059,341.92846575580893,340.1492944604361,226.76604959463387,178829823.86,0.11,4573916.6,tons/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,19387392.41,0.05,771222.6213592233,tons/km2
Crea Construction,-87.816836,41.840134,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,27142349.38,0.07,771222.6213592233,tons/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,7754956.96,0.02,771222.6213592233,tons/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,31019827.86,0.08,771222.6213592233,tons/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,3877478.48,0.01,771222.6213592233,tons/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,7754956.96,0.02,771222.6213592233,tons/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,50407220.27,0.13,771222.6213592233,tons/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,7754956.96,0.02,771222.6213592233,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,42652263.3,0.11,771222.6213592233,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,15509913.93,0.04,771222.6213592233,tons/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,65917134.2,0.17,771222.6213592233,tons/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,725.571947581628,483.7138579039616,481.0778065120447,320.7176892219349,58162177.23,0.15,771222.6213592233,tons/km2
