Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea(km2),Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,6406674.82,0.01,801093.1067961165,tons/km2
Airial Construction,-88.085602,41.851961,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,64066748.19,0.1,801093.1067961165,tons/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,89693447.47,0.14,801093.1067961165,tons/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,12813349.64,0.02,801093.1067961165,tons/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,12813349.64,0.02,801093.1067961165,tons/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,32033374.09,0.05,801093.1067961165,tons/km2
B A B Grain,-89.658883,39.758174,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,44846723.73,0.07,801093.1067961165,tons/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,719.6111111111111,478.27791911810925,609.140237356005,406.09342629563145,73906663.92,0.03,4452632.42,tons/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,83286772.65,0.13,801093.1067961165,tons/km2
Crea Construction,-87.816836,41.840134,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,38440048.91,0.06,801093.1067961165,tons/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,70473423.01,0.11,801093.1067961165,tons/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,64066748.19,0.1,801093.1067961165,tons/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,83286772.65,0.13,801093.1067961165,tons/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,89693447.47,0.14,801093.1067961165,tons/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,102506797.1,0.16,801093.1067961165,tons/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,12813349.64,0.02,801093.1067961165,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,96100122.28,0.15,801093.1067961165,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,6406674.82,0.01,801093.1067961165,tons/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,32033374.09,0.05,801093.1067961165,tons/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,76880097.83,0.12,801093.1067961165,tons/km2
Grand Prairie Cooperative Inc,-88.199166,40.140104,OhioR,719.6111111111111,478.27791911810925,609.140237356005,406.09342629563145,147813327.84,0.06,4452632.42,tons/km2
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,89693447.47,0.14,801093.1067961165,tons/km2
Hartsburg Grain Company,-89.367545,40.124564,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,70473423.01,0.11,801093.1067961165,tons/km2
Heartland Construction,-87.816836,41.840134,MissppRN,1039.418,691.0309734513274,881.1682389937107,587.3491821587928,115320146.74,0.18,801093.1067961165,tons/km2
