Name,LON,LAT,BasinName,Yield_IRR_hi,Yield_IRR_lo,Yield_RFD_hi,Yield_RFD_lo,Ending,EndingRate,PlantingArea(km2),Yield Unit
Agency Rail LLC,-88.847333,40.490883,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,104482453.42,0.14,829239.0582524271,tons/km2
Airial Construction,-88.085602,41.851961,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,74630323.87,0.1,829239.0582524271,tons/km2
"Alliance Builders And Construction, Inc.",-87.816836,41.840134,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,74630323.87,0.1,829239.0582524271,tons/km2
Artix Construction Inc,-87.816836,41.840134,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,7463032.39,0.01,829239.0582524271,tons/km2
Assumption Cooperative Grain,-89.277259,39.545839,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,22389097.16,0.03,829239.0582524271,tons/km2
Atkinson Grain & Fertilizer,-90.131437,41.353145,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,82093356.26,0.11,829239.0582524271,tons/km2
B A B Grain,-89.658883,39.758174,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,119408518.2,0.16,829239.0582524271,tons/km2
Bridgeport Grain INC,-87.726786,38.719963,OhioR,805.3868613138686,538.3159569241807,686.2526690391459,457.0702101335619,577924160.15,0.19,4892118.5,tons/km2
Copper Construction Co,-88.085602,41.851961,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,111945485.81,0.15,829239.0582524271,tons/km2
Crea Construction,-87.816836,41.840134,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,97019421.03,0.13,829239.0582524271,tons/km2
Danvers Farmers Elevator,-88.847333,40.490883,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,7463032.39,0.01,829239.0582524271,tons/km2
Donovan Farmers Cooperative,-87.824344,40.747251,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,97019421.03,0.13,829239.0582524271,tons/km2
Eminence Grain & Coal CO,-89.367545,40.124564,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,134334582.97,0.18,829239.0582524271,tons/km2
Farmers Grain Company Of Latham,-89.367545,40.124564,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,126871550.58,0.17,829239.0582524271,tons/km2
Farmers Grain Service Inc,-88.885951,41.344002,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,67167291.49,0.09,829239.0582524271,tons/km2
Geneva Construction Co,-88.428645,41.938852,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,134334582.97,0.18,829239.0582524271,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,59704259.1,0.08,829239.0582524271,tons/km2
Goodwine Cooperative Grain Company,-87.824344,40.747251,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,14926064.77,0.02,829239.0582524271,tons/km2
Grainland Cooperative,-89.211128,40.788226,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,149260647.75,0.2,829239.0582524271,tons/km2
Grainland Elevator,-89.211128,40.788226,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,134334582.97,0.18,829239.0582524271,tons/km2
Grand Prairie Cooperative Inc,-88.199166,40.140104,OhioR,805.3868613138686,538.3159569241807,686.2526690391459,457.0702101335619,304170610.61,0.1,4892118.5,tons/km2
Graymont Cooperative Association Grain ELEV,-88.557724,40.891579,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,67167291.49,0.09,829239.0582524271,tons/km2
Hartsburg Grain Company,-89.367545,40.124564,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,134334582.97,0.18,829239.0582524271,tons/km2
Heartland Construction,-87.816836,41.840134,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,74630323.87,0.1,829239.0582524271,tons/km2
Hometeam Group Inc,-87.816836,41.840134,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,52241226.71,0.07,829239.0582524271,tons/km2
Hudson Grain Co,-88.847333,40.490883,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,89556388.65,0.12,829239.0582524271,tons/km2
I D Construction,-88.452342,42.324432,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,59704259.1,0.08,829239.0582524271,tons/km2
Jayco Construction,-89.658883,39.758174,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,74630323.87,0.1,829239.0582524271,tons/km2
Jersey County Grain Company,-90.667537,39.16925,MissppRN,1167.5944584382871,779.1650430646441,992.1063394683026,661.0766909210022,111945485.81,0.15,829239.0582524271,tons/km2
