Name,"Sioux Falls, SD ","Minneapolis, MN ","Fargo, ND ","Council Bluffs, IA ","Toledo, OH ","Grand Island, NE "
Agency Rail LLC,,,,,,
Airial Construction,,,,,,
"Alliance Builders And Construction, Inc.",,,,,,
Artix Construction Inc,,,,,,
Assumption Cooperative Grain,,,,,,
Atkinson Grain & Fertilizer,,,,,,
B A B Grain,,,,,,
Bridgeport Grain INC,,,,,,
Copper Construction Co,,,,,,
Crea Construction,,,,,,
Danvers Farmers Elevator,,,,,,
Donovan Farmers Cooperative,,,,,,
Eminence Grain & Coal CO,,,,,,
Farmers Grain Company Of Latham,,,,,,
Farmers Grain Service Inc,,,,,,
Geneva Construction Co,,,,,,
Goodwine Cooperative Grain Company,,,,,,
Goodwine Cooperative Grain Company,,,,,,
Grainland Cooperative,,,,,,
Grainland Elevator,,,,,,
Grand Prairie Cooperative Inc,,,,,,
Graymont Cooperative Association Grain ELEV,,,,,,
Hartsburg Grain Company,,,,,,
Heartland Construction,,,,,,
Hometeam Group Inc,,,,,,
Hudson Grain Co,,,,,,
I D Construction,,,,,,
Jayco Construction,,,,,,
Jersey County Grain Company,,,,,,
K T Richards Construction,,,,,,
Kitchen Seed Co Inc,,,,,,
Koehl Brothers Inc,,,,,,
Legend Exterior & Construction,,,,,,
Lincolnland Agri-Energy,,,,,,
Lumber 1 Construction,,,,,,
Midwest Ingredients Inc,,,,,,
Monica Elevator CO,,,,,,
Northern Grain Marketing,,,,,,
P&K Quality Construction,,,,,,
Path Construction Co Inc,,,,,,
Prentice Farmers Elevator,,,,,,
"R.A. James Construction, Inc.",,,,,,
Reyes Group Limited,,,,,,
Roanoke Farmers Association,,,,,,
Robert P Johnson Grain Company,,,,,,
Rock River Lumber & Grain Company,,,,,,
Shore Sales CO Inc,,,,,,
Siemer Milling Company,,,,,,
Stanford Grain Company,,,,,,
Top Ag Cooperative,,,,,,
Top Flight Grain,,,,,,
Tremont Cooperative Grain Company,,,,,,
Tri Central Cooperative - Main Ofc,,,,,,
Twomey Company,,,,,,
Union Iron Works Inc,,,,,,
US NATIONAL CONSTRUCTION,,,,,,
Wesemann Feeds,,,,,,
Bazooka-Farmstar Inc,,,,,,
Buckingham Co-Operative Company,,,,,,
Clinton Feed & Grain,,,,,,
Dandea Enterprises Inc,,,,,,
Dunkerton Cooperative,,,,,,
East Central Iowa Cooperative,,,,,,
East Central Iowa Cooperative,,,,,,
Farmers Cooperative,,,,,,
Farmers Elevator & Exchange,,,,,,
Gold Eagle Cooperative,,,,,,
Gold Eagle Cooperative,,,,,,
Gold Eagle Cooperative,,,,,,
Gold-Eagle Cooperative,,,,,,
Heartland Cooperative,,,,,,
JUHL Feed Store,,,,,,
Liquid Grow Tri Oak,,,,,,
North Central Cooperative,,,,,,
Professional Cooperative,,,,,,
Pruess Elevator Inc,,,,,,
Quality AG Service,,,,,,
Reiff Grain & Feed Inc,,,,,,
Shellsburg Elevator,,,,,,
State Line Cooperative Elevator,,,,,,
Tama Benton Cooperative Company,,,,,,
Tri-States Grain Conditioning,,,,,,
Agassiz Valley Grain,,,,,,
All American Cooperative,,,,,,
All American Cooperative,,,,,,
All-American Cooperative Viola,,,,,,
Bellingham Fertilizer Plant,,,,,,
Bird Island Bean Company,,,,,,
C-W Valley Cooperative,,,,,,
C-W Valley Cooperative - Comstock Elevator,,,,,,
Canby Farmers Grain Company,,,,,,
Dawson Grain Cooperative,,,,,,
Elbow Lake Cooperative Grain Company,,,,,,
Farm Service Elevator,,,,,,
Farmers Cooperative of Hanska - Main Office - Hanska,,,,,,
Farmers Mill & Elevator Inc,,,,,,
Forsbergs Inc,,,,,,
Humboldt-St Vincent Elevator,,,,,,
K & S Millwrights Inc,,,,,,
Munson Lakes Nutrition,,,,,,
Prairie Grain Partners LLC,,,,,,
Prairie Lakes Cooperative Elevator,,,,,,
Prinsburg Farmers Cooperative,,,,,,
Profile Industries Inc,,,,,,
Rapat Corporation,,,,,,
Red River Grain Company,,,,,,
River Region Cooperative - Main Office,,,,,,
South Central Grain & Energy,,,,,,
UAS Service Corporation,,,,,,
Van AHN & CO Inc,,,,,,
Waconia Manufacturing,,,,,,
Western Consolidated Cooperative,,,,,,
Boyd Grain Inc,,,,,,
Riley Equipment Inc,,,,,,
Agrex Inc,,,,,,
Batterton Waterproofing Inc,,,,,,
Central Valley AG,,,,,,
Cooperative Supply,,,,,,
Cooperative Supply Inc,,,,,,
Cooperative Supply Inc,,,,,,
Country Partners Cooperative,,,,,,
Country Partners Cooperative Company,,,,,,
Crossroads Cooperative Association,,,,,,
Crossroads Cooperative Association,,,,,,
CTEC Inc,,,,,,
Grain States Soya Inc,,,,,,
J E Meuret Grain Company,,,,,,
Kaapa Ethanol LLC,0.0,541.02,549.79,191.99,882.03,54.67
Kaapa Grains,319.65,552.31,561.07,203.27,893.31,65.95
Midwest Farmers Cooperative,224.55,416.26,461.72,46.82,736.86,129.76
Pride Grain,224.29,465.09,461.45,254.12,920.69,162.45
Shickley Grain CO Inc,279.89,489.85,521.32,140.82,830.86,69.2
Andersons Investment Service,816.54,657.34,884.38,682.14,8.95,831.19
Creamer Metal Products Inc,894.8,751.89,978.92,757.0,134.13,884.7
Deerfield Farms Service,968.27,809.07,1036.11,833.87,156.14,982.92
Elgin Service Center,769.95,610.75,837.79,635.55,63.83,784.59
Farmers Elevator Grain & SUPL,812.32,653.13,880.16,677.93,53.16,826.98
Gerald Grain Center,801.38,642.18,869.22,666.98,38.94,816.03
Hicksville Grain Company,766.66,621.74,848.77,632.27,73.9,781.31
Jewell Grain Company,796.6,636.66,863.69,662.2,54.08,811.25
Keller Grain & Feed Inc,840.21,687.97,915.01,702.41,145.96,830.11
Pandora Grain & Supply,819.61,660.42,887.45,685.22,61.5,834.26
Scott Equity Exchange,777.26,618.07,846.47,642.86,82.51,791.91
Bewley ConStruction LLC,549.52,625.01,786.68,365.1,699.24,474.44
Butterfield & Associates Grain Inc,395.84,410.32,633.0,211.43,610.43,318.38
Cameron Cooperative Elevator Association - Mill & Office,345.24,401.21,582.4,160.82,662.01,267.77
"Capital Electric Line Builders, Inc.",360.37,447.5,597.53,175.95,709.52,282.9
Centric Projects LLC,364.1,449.7,601.26,179.69,708.06,286.64
Feed Products & Service Co,615.9,545.22,853.06,431.49,467.43,538.44
Glasgow MFA Agri Service,457.59,472.06,694.75,273.17,606.61,380.12
Home Matters Alliance LLC,615.9,545.22,853.06,431.49,467.43,538.44
Infinite Energy Construction,364.1,449.7,601.26,179.69,708.06,286.64
K C Supply CO Inc,364.1,449.7,601.26,179.69,708.06,286.64
Lawson Agri Service,368.67,421.83,605.84,184.26,678.25,291.21
MFA Agri Svc-Lexington,400.52,454.34,637.68,217.2,677.89,324.15
Mill & Elevator Supply CO Inc,364.1,449.7,601.26,179.69,708.06,286.64
Pilot Grove Cooperative Elevator,464.9,517.95,702.06,280.48,618.16,387.43
Robertson Construction Inc,579.64,509.02,816.8,395.22,498.26,502.18
Seed & Farm Supply,492.18,568.29,729.34,307.76,778.91,417.1
Twin Peaks Contracting Inc,615.9,545.22,853.06,431.49,467.43,538.44
Unerstall Construction,640.45,600.14,877.61,456.03,544.24,562.98
Whitley Construction Co LLC,387.78,463.27,624.95,203.37,705.64,310.32
Agassiz Seeds,246.88,235.88,6.27,419.03,900.04,491.83
Alton Grain Terminal,283.66,272.66,41.55,455.81,936.82,528.61
Bottineau Farmers Elevator,528.83,517.84,286.73,700.99,1182.0,648.29
Cando Farmers Grain & Oil Cooperative - Elevator,440.88,429.88,198.77,613.03,1094.04,572.14
Central Valley Bean Cooperative,297.64,286.64,55.53,469.79,950.8,542.59
Dakota Dry Bean Inc,395.51,384.51,153.4,567.66,1048.67,544.35
Effertz Key Ranch Inc,484.74,473.87,242.56,656.89,1138.03,596.29
Farmers Union Elevator,464.72,453.85,227.87,636.88,1118.01,558.07
